fact_id,date_id,state_id,aqi,rainfall_mm,temperature_c,water_quality_index,sanitation_coverage_pct,healthcare_accessibility_score,mosquito_breeding_index,zoonotic_disease_incidence,geographic_risk_score,environmental_risk_score,case_rate_per_100k,hotspot_flag
30,1,30,227.9,50.3,9.8,84.3,70.3,48.7,44.5,14.7,31.1,57.0,34.5,no
31,1,31,209.9,30.8,18.5,59.5,74.5,41.9,39.3,20.9,44.1,65.1,68.2,False
32,1,32,175.1,37.4,11.1,50.2,63.4,70.9,62.0,11.4,49.4,48.8,179.9,YES
33,2,1,160.0,1.0,21.0,42.6,68.5,41.7,60.7,18.1,42.9,53.5,245.2,Y
34,2,2,171.3,15.6,16.2,73.9,75.9,88.8,39.5,21.3,37.1,47.4,96.7,No
35,2,3,202.9,8.9,15.9,61.1,72.7,86.4,17.9,4.4,40.7,56.5,231.2,True
36,2,4,170.8,24.6,17.1,70.2,64.6,55.7,58.6,7.6,38.0,53.1,156.0,TRUE
37,2,5,200.2,16.6,10.8,65.1,72.8,83.4,19.5,25.9,38.2,59.4,235.7,Yes
38,2,6,112.7,51.0,19.2,77.1,61.5,80.6,28.2,25.0,37.8,29.3,193.3,1
39,2,7,215.6,25.8,19.3,74.8,83.8,60.2,19.0,15.9,35.0,63.6,145.5,no
40,2,8,160.0,1.5,20.6,89.4,72.8,80.0,48.2,11.1,31.8,39.8,169.8,True
41,2,9,113.2,44.6,14.5,85.0,88.8,77.5,9.3,15.1,29.0,27.6,82.7,no
42,2,10,251.5,54.1,12.3,67.4,56.8,94.2,61.1,23.0,41.2,65.0,203.2,YES
43,2,11,162.0,56.8,10.0,44.3,94.9,90.9,54.8,14.9,43.2,48.0,114.9,FALSE
44,2,12,138.1,50.0,18.7,64.7,80.7,89.0,11.6,21.6,41.0,38.1,209.5,1
45,2,13,106.7,23.2,14.4,74.9,74.4,54.6,29.0,19.6,31.3,31.7,178.8,TRUE
46,2,14,86.5,31.4,9.7,49.2,,90.7,25.9,26.6,51.1,30.8,230.1,Yes
47,2,15,223.5,31.1,19.9,69.3,60.7,94.7,21.6,22.9,36.2,58.1,115.9,No
48,2,16,200.3,29.0,17.1,68.8,71.5,86.6,9.1,17.8,40.7,54.1,16.0,FALSE
49,2,17,130.6,39.3,20.3,54.1,56.1,61.0,54.4,16.2,42.3,45.0,205.6,Y
50,2,18,136.7,54.6,14.0,68.4,97.2,65.2,53.5,28.6,28.7,36.9,193.2,Y
51,2,19,159.5,27.2,16.3,87.6,67.8,89.6,44.6,14.0,33.1,44.2,173.3,Y
52,2,20,,11.7,13.8,79.4,92.7,56.2,12.1,21.4,31.5,36.2,28.2,N
53,2,21,,28.9,21.5,90.7,,93.9,18.9,2.8,34.9,38.6,183.8,TRUE
54,2,22,207.2,55.9,8.1,56.0,65.6,40.1,62.3,9.1,42.2,58.8,229.0,Y
55,2,23,250.1,18.2,22.0,55.1,91.2,88.4,28.8,9.0,33.4,71.2,177.2,yes
56,2,24,242.1,24.1,14.2,49.3,76.4,47.1,15.0,18.8,42.5,73.0,7.8,No
57,2,25,111.8,15.2,16.9,94.1,76.4,45.6,18.6,14.1,27.9,31.1,66.3,no
58,2,26,194.2,26.2,14.6,95.0,88.8,62.8,26.5,19.1,23.3,47.0,123.5,NO
59,2,27,173.7,18.2,12.3,83.6,96.2,43.1,12.1,7.8,28.0,45.7,151.0,TRUE
60,2,28,113.7,5.5,18.5,77.9,67.6,87.5,22.2,19.6,36.4,31.4,223.4,Y
61,2,29,179.4,37.3,9.7,47.0,74.8,71.3,28.2,19.4,43.9,54.6,67.0,FALSE
62,2,30,97.5,13.8,17.5,,55.1,71.0,38.1,15.7,45.1,33.4,185.3,True
63,2,31,106.9,21.0,15.6,45.1,56.2,40.6,34.6,16.4,47.1,34.0,41.2,N
64,2,32,98.8,6.6,19.3,75.3,70.4,59.7,55.7,15.9,32.9,33.6,176.7,Yes
65,3,1,79.0,49.1,31.4,92.5,87.7,55.8,50.4,3.9,29.3,19.5,159.0,YES
66,3,2,78.9,37.9,27.9,45.2,63.4,86.6,14.5,15.8,51.4,28.7,210.8,Yes
67,3,3,83.5,22.1,39.5,75.8,78.4,43.7,60.6,15.0,33.8,28.4,116.2,False
68,3,4,60.1,45.2,40.8,90.0,86.1,63.2,24.1,14.2,30.1,12.1,152.0,1
69,3,5,63.1,38.8,24.2,42.6,88.9,66.0,45.9,9.8,43.5,32.0,45.7,NO
70,3,6,103.4,28.1,29.2,69.1,61.3,91.6,17.9,12.2,37.7,29.8,208.2,1
71,3,7,144.5,3.3,29.8,68.4,89.3,46.6,29.3,27.5,35.2,38.2,143.0,No
72,3,8,131.0,43.3,34.7,60.8,92.9,63.9,27.3,8.8,37.4,40.2,174.6,True
73,3,9,133.4,41.3,36.7,,55.7,82.0,39.8,14.8,47.2,36.9,179.0,TRUE
74,3,10,83.4,58.6,33.2,66.0,74.4,52.0,30.2,18.2,41.9,22.9,164.5,TRUE
75,3,11,91.9,25.2,40.9,61.8,94.5,86.0,31.8,25.5,33.3,34.3,117.7,no
76,3,12,153.2,54.7,28.7,69.9,97.8,68.6,38.4,14.8,29.2,40.2,203.2,Y
77,3,13,159.7,5.3,32.6,54.1,88.9,72.9,17.9,14.1,40.8,52.7,223.0,1
78,3,14,132.8,15.3,29.7,88.6,65.8,52.5,56.7,11.1,35.2,31.6,78.8,No
79,3,15,129.9,52.5,24.3,53.4,96.0,67.6,48.2,15.4,30.8,39.6,180.2,Y
80,3,16,57.3,28.7,26.5,81.0,96.4,43.7,38.4,12.5,29.3,20.8,236.7,TRUE
81,3,17,72.9,7.7,33.2,71.5,95.7,66.3,62.7,26.3,30.8,21.8,62.8,No
82,3,18,121.4,43.7,30.5,46.5,76.7,60.8,26.8,7.3,43.1,43.3,69.5,False
83,3,19,76.1,8.7,31.5,74.3,,46.3,15.4,14.0,36.2,26.7,213.0,TRUE
84,3,20,76.9,54.0,30.5,71.8,92.9,50.7,61.1,2.8,26.0,27.3,209.3,1
85,3,21,119.4,31.7,36.6,50.4,86.8,82.0,56.0,14.3,36.6,38.6,237.2,Yes
86,3,22,159.1,33.0,32.7,57.5,82.0,64.6,54.2,6.7,42.2,53.1,247.2,YES
87,3,23,141.3,35.1,26.0,68.2,97.2,68.0,48.2,8.4,35.0,46.5,51.3,NO
88,3,24,80.7,24.9,37.7,80.9,74.1,81.4,53.6,4.8,37.1,22.5,52.1,NO
89,3,25,84.8,0.5,26.6,60.2,83.6,44.6,23.1,10.9,32.8,27.2,61.0,No
90,3,26,74.6,2.3,40.8,90.9,77.0,67.7,8.2,14.1,32.4,24.2,192.3,TRUE
91,3,27,104.8,36.4,30.9,71.8,65.2,85.6,27.0,9.0,41.6,36.0,39.9,No
92,3,28,65.8,41.0,29.5,41.5,80.9,52.2,48.4,26.5,44.2,30.9,113.2,N
93,3,29,62.6,23.2,37.4,47.0,68.4,86.7,38.9,11.6,46.9,22.3,111.9,N
94,3,30,110.4,29.8,25.5,72.8,72.2,79.9,51.0,7.7,36.2,33.9,193.6,TRUE
95,3,31,93.3,33.9,37.8,65.7,63.4,52.2,7.4,22.9,38.2,28.6,77.3,0
96,3,32,62.6,53.7,28.6,45.5,,55.7,15.4,22.1,42.9,23.1,36.4,FALSE
97,4,1,115.6,2.6,26.1,50.0,60.7,63.5,41.4,11.5,50.4,39.4,201.2,Y
98,4,2,,7.2,42.0,61.6,75.4,91.3,31.1,5.3,37.2,34.9,53.8,No
99,4,3,121.0,55.9,35.6,,69.7,72.5,7.9,18.8,28.0,35.0,211.7,Y
100,4,4,116.2,12.2,26.4,41.6,83.8,57.4,61.5,26.9,44.5,37.4,89.3,FALSE
101,4,5,126.8,22.6,32.6,75.2,72.0,58.7,43.7,4.1,32.2,39.7,137.5,False
102,4,6,158.4,18.9,33.8,73.9,89.6,93.9,33.5,15.3,30.7,41.2,214.1,Y
103,4,7,61.4,47.5,38.3,91.3,73.5,67.4,62.4,18.7,27.6,14.0,29.2,FALSE
104,4,8,83.8,42.8,29.9,76.8,60.2,63.1,17.6,22.1,41.3,27.4,20.0,N
105,4,9,142.4,40.7,39.6,89.2,85.4,78.8,42.4,9.3,25.4,39.7,219.3,YES
106,4,10,84.8,25.1,31.4,76.2,83.1,77.1,13.4,18.2,28.8,23.9,155.8,yes
107,4,11,119.7,10.4,29.9,83.6,78.2,90.8,33.4,6.4,33.4,33.9,143.6,NO
108,4,12,88.9,25.7,24.0,53.6,57.0,89.5,30.3,1.3,46.5,27.4,179.7,YES
109,4,13,120.5,37.0,41.3,,84.5,60.4,54.6,15.3,32.8,27.9,220.3,YES
110,4,14,72.6,31.6,36.4,79.9,84.1,63.5,32.0,3.1,31.8,21.8,37.3,NO
111,4,15,95.2,28.7,41.3,62.0,56.4,48.3,18.7,14.7,42.6,30.0,151.3,TRUE
112,4,16,72.9,3.8,41.7,83.4,66.8,74.8,62.4,7.1,39.2,23.2,78.6,N
113,4,17,149.8,45.0,26.8,47.8,67.7,73.8,32.6,11.2,47.9,44.2,77.2,No
114,4,18,95.0,10.5,41.8,71.7,66.6,60.2,21.3,20.3,42.3,27.7,201.0,1
115,4,19,131.2,57.2,27.8,45.2,82.7,80.9,11.6,11.1,45.1,44.9,163.2,yes
116,4,20,123.7,41.2,37.9,74.2,72.4,57.4,29.6,17.8,38.3,32.5,235.0,1
117,4,21,90.7,15.4,41.4,,89.6,52.3,48.5,13.2,37.5,35.0,100.4,NO
118,4,22,95.3,31.0,36.7,94.9,93.9,91.2,57.3,13.9,23.4,26.7,225.7,Yes
119,4,23,151.3,28.7,39.0,88.7,78.9,93.0,44.3,21.1,34.7,38.4,59.0,False
120,4,24,107.0,14.6,38.4,82.2,85.0,63.2,24.7,27.6,29.2,32.8,97.2,NO
121,4,25,115.1,25.1,32.3,94.6,92.2,58.1,7.2,11.1,19.8,30.3,25.7,N
122,4,26,112.4,48.8,28.2,48.5,60.1,62.9,35.3,19.2,49.4,38.4,67.4,False
123,4,27,56.3,40.3,31.6,65.4,83.3,86.6,27.0,23.1,37.2,18.7,53.8,FALSE
124,4,28,151.0,13.5,25.6,50.1,91.3,88.1,55.2,22.0,41.7,52.1,121.1,0
125,4,29,132.4,11.0,32.4,46.4,92.6,59.3,10.0,14.1,35.4,45.3,192.4,TRUE
126,4,30,89.7,29.7,26.6,75.5,78.6,46.3,59.9,16.8,31.9,28.9,218.6,yes
127,4,31,71.3,27.5,35.8,87.1,94.7,52.7,61.3,3.5,26.6,17.8,160.0,TRUE
128,4,32,110.0,3.8,27.1,59.5,,45.4,27.2,18.3,46.3,35.1,54.4,0
129,5,1,142.0,30.0,38.0,,60.5,55.4,56.9,20.0,33.0,39.3,167.2,yes
130,5,2,115.4,25.9,37.5,47.4,,73.7,56.8,33.8,38.4,34.4,24.8,N
131,5,3,142.4,39.3,32.8,68.3,69.7,45.5,36.5,19.7,35.9,40.1,85.2,NO
132,5,4,67.2,17.0,41.6,40.5,64.2,84.9,29.5,15.8,51.2,32.8,30.7,N
133,5,5,73.5,56.8,34.7,48.3,85.2,79.9,15.9,16.6,43.3,26.2,161.5,Yes
134,5,6,140.0,5.5,37.6,77.8,90.3,65.7,44.5,18.9,32.1,41.9,170.7,Yes
135,5,7,70.2,52.7,40.4,58.3,84.1,57.1,25.9,24.5,35.5,22.6,55.9,no
136,5,8,146.4,58.5,34.0,91.3,91.3,52.9,44.5,9.7,21.8,40.3,175.2,True
137,5,9,134.6,13.0,38.7,43.2,69.7,41.4,47.1,24.2,44.3,43.3,29.9,NO
138,5,10,78.0,47.1,41.4,90.2,61.3,60.7,7.7,47.6,32.4,23.2,186.9,1
139,5,11,102.9,28.1,35.7,,94.5,40.2,41.7,43.1,31.0,30.3,155.2,yes
140,5,12,121.4,50.7,26.7,93.3,87.8,73.6,29.5,30.1,21.1,27.5,79.8,NO
141,5,13,160.8,16.4,40.6,87.2,88.3,80.0,31.1,26.6,24.5,45.2,208.9,Yes
142,5,14,160.3,21.6,27.5,69.7,71.3,50.6,38.1,30.8,33.1,44.9,34.4,No
143,5,15,84.4,42.2,30.0,51.9,96.8,63.4,18.5,14.6,31.7,32.5,195.0,Yes
144,5,16,128.1,49.9,38.2,58.6,70.7,60.7,11.8,27.0,45.5,45.2,148.3,FALSE
145,5,17,156.0,14.6,36.1,67.7,70.1,71.0,37.1,4.2,39.6,48.5,180.3,YES
146,5,18,121.3,9.1,25.5,85.2,65.6,69.5,19.2,22.7,30.1,33.1,165.5,Y
147,5,19,144.1,59.7,35.7,61.3,78.1,77.6,18.0,28.2,38.4,43.2,175.4,True
148,5,20,155.9,43.5,24.1,83.2,61.0,62.9,61.3,27.6,37.5,40.2,247.0,yes
149,5,21,82.0,48.4,33.6,75.3,71.0,46.2,40.3,26.1,38.0,23.1,40.0,False
150,5,22,79.3,18.3,25.2,68.3,97.8,79.4,49.5,14.4,29.0,21.3,64.2,NO
151,5,23,135.2,51.5,37.8,77.8,95.7,60.4,15.8,28.8,27.9,33.6,127.1,0
152,5,24,59.6,27.9,25.1,91.5,90.4,92.6,45.8,17.4,26.1,14.6,159.8,True
153,5,25,156.8,55.5,25.1,73.0,90.7,51.2,45.5,20.7,26.4,47.6,162.2,1
154,5,26,147.6,28.1,37.8,,83.2,89.6,58.7,38.0,33.8,51.0,108.0,0
155,5,27,74.5,28.2,31.2,83.6,61.5,75.2,18.4,25.0,36.3,20.8,192.5,TRUE
156,5,28,78.1,7.0,37.4,69.2,80.8,73.9,47.9,22.8,30.6,25.6,160.7,YES
157,5,29,158.0,43.0,36.7,57.4,91.2,54.8,56.9,14.2,32.7,45.3,127.5,False
158,5,30,98.7,17.4,26.7,40.3,72.5,53.6,13.3,27.6,46.6,37.9,101.6,NO
159,5,31,146.1,0.5,30.8,86.2,84.5,71.1,13.8,13.2,25.4,44.0,223.1,TRUE
160,5,32,77.8,8.1,31.3,94.7,65.3,81.9,37.3,21.4,35.4,21.3,208.7,TRUE
161,6,1,57.4,256.5,27.2,45.0,92.4,41.3,103.9,17.5,38.5,28.1,157.8,Yes
162,6,2,119.1,220.1,28.1,91.2,,79.1,157.4,15.9,36.3,35.5,43.1,NO
163,6,3,95.6,397.3,27.6,55.5,93.1,49.2,32.9,10.2,33.2,37.7,171.1,YES
164,6,4,62.9,271.2,26.0,54.0,61.6,80.6,38.7,32.9,46.4,25.9,143.5,no
165,6,5,67.2,284.7,24.4,47.2,74.4,66.7,144.0,4.6,40.7,24.4,183.5,Y
166,6,6,59.7,321.0,26.8,87.0,73.9,72.6,143.9,38.0,31.9,14.7,106.4,no
167,6,7,131.4,244.9,24.8,55.5,79.6,41.0,109.3,19.8,37.4,43.3,137.7,0
168,6,8,116.8,297.9,33.2,76.6,80.1,69.1,49.8,31.9,30.1,30.0,180.6,TRUE
169,6,9,67.6,205.8,39.6,64.6,83.5,61.3,111.0,33.2,35.7,25.1,22.7,FALSE
170,6,10,79.0,306.6,24.8,69.1,88.2,90.8,115.2,15.1,36.9,25.1,180.0,1
171,6,11,93.8,174.2,28.4,74.5,73.1,69.6,71.6,7.4,31.8,26.0,119.1,False
172,6,12,70.0,310.7,34.2,56.2,85.9,49.9,29.7,23.5,38.8,22.6,110.9,N
173,6,13,74.5,273.1,26.7,93.9,73.9,43.5,135.8,17.8,31.9,15.7,240.7,Y
174,6,14,102.4,359.7,30.9,45.1,69.5,94.7,24.2,21.4,48.3,33.9,106.9,0
175,6,15,146.3,231.6,33.3,88.6,78.5,68.8,71.4,38.3,34.6,36.9,94.6,NO
176,6,16,80.5,227.9,26.4,53.3,96.9,90.7,125.5,33.2,39.2,28.3,63.6,NO
177,6,17,,161.0,36.9,46.4,79.6,81.7,80.6,28.9,41.7,46.6,148.8,N
178,6,18,79.6,246.4,31.5,50.4,78.0,54.0,155.9,30.2,42.1,31.3,38.1,False
179,6,19,77.2,216.6,32.2,93.1,79.5,79.1,67.5,34.0,24.2,20.4,39.0,0
180,6,20,134.0,186.6,29.2,92.1,95.3,74.5,120.6,37.3,28.3,30.4,6.3,FALSE
181,6,21,141.9,193.9,34.0,91.1,57.8,45.4,62.1,21.4,30.8,34.3,118.6,no
182,6,22,160.6,177.6,40.7,70.4,97.9,77.2,114.0,44.5,28.7,43.5,79.2,No
183,6,23,104.8,269.9,35.5,67.5,82.0,56.7,128.9,24.1,37.4,31.4,103.3,N
184,6,24,137.7,216.7,37.0,60.5,80.8,90.6,154.7,20.8,35.3,41.8,45.8,FALSE
185,6,25,119.8,259.8,33.1,82.2,90.3,46.7,114.2,37.2,28.0,34.9,239.7,1
186,6,26,160.8,244.2,37.7,41.3,82.3,67.8,127.7,21.5,43.7,54.6,7.0,NO
187,6,27,134.7,293.9,26.8,,67.1,88.0,141.8,20.9,46.7,46.8,242.3,True
188,6,28,139.1,287.0,37.8,61.5,80.9,87.3,42.0,41.5,40.9,40.9,45.9,FALSE
189,6,29,61.1,253.9,34.0,61.2,81.0,79.2,48.2,23.0,39.3,24.4,192.8,Y
190,6,30,69.5,218.8,39.7,50.8,58.1,50.0,97.5,10.1,50.8,27.4,99.6,N
191,6,31,93.8,214.8,40.8,76.1,92.7,93.1,127.1,13.8,33.9,31.7,122.1,no
192,6,32,109.2,317.5,37.2,50.7,68.0,86.5,150.9,19.5,45.1,33.3,188.9,1
193,7,1,112.8,353.0,28.0,74.2,64.7,49.7,85.0,15.4,42.4,37.5,184.8,Yes
194,7,2,84.7,354.0,24.9,69.1,77.3,79.4,50.2,25.4,32.5,23.6,105.3,no
195,7,3,128.0,269.4,25.7,67.1,64.3,94.9,112.6,19.6,43.4,34.8,149.9,NO
196,7,4,56.5,192.1,41.7,61.9,61.4,58.1,129.5,25.9,38.4,23.1,235.5,1
197,7,5,106.7,156.9,26.2,80.1,84.5,59.6,83.0,22.5,26.5,33.6,59.0,NO
198,7,6,69.9,210.8,24.8,90.9,87.2,65.4,111.2,15.9,27.0,20.0,11.4,No
199,7,7,97.3,316.0,28.9,89.3,81.3,69.8,50.3,11.6,26.2,29.6,120.5,No
200,7,8,149.1,292.4,35.9,52.5,70.0,76.9,134.7,11.4,47.9,43.3,42.4,No
201,7,9,97.1,228.2,25.5,76.0,81.5,49.7,105.3,36.3,32.7,31.0,157.1,True
202,7,10,82.5,293.8,34.8,91.3,91.4,62.1,146.4,26.4,25.0,25.6,149.6,no
203,7,11,122.3,329.4,41.9,55.5,92.4,58.9,86.1,4.4,33.9,40.8,216.4,TRUE
204,7,12,125.2,324.9,29.3,87.6,64.1,49.5,34.8,12.8,37.9,34.5,136.8,False
205,7,13,101.1,351.6,26.9,70.7,58.0,82.3,130.9,6.9,44.4,28.2,226.1,Yes
206,7,14,108.6,237.9,36.5,47.2,83.1,66.1,81.1,20.9,43.6,37.7,5.9,False
207,7,15,94.0,383.2,30.8,60.1,62.2,63.8,38.8,24.5,44.7,29.1,35.9,N
208,7,16,128.3,153.4,41.7,51.3,61.6,46.8,126.8,38.0,48.1,45.7,90.0,False
209,7,17,,310.4,29.6,61.7,92.1,61.6,21.9,30.2,31.9,23.0,218.9,yes
210,7,18,99.2,398.4,25.5,80.1,,74.7,30.0,26.5,31.9,33.0,225.1,YES
211,7,19,116.7,224.9,28.7,83.4,90.5,75.4,161.2,11.6,23.0,33.1,204.6,TRUE
212,7,20,147.0,205.1,36.1,62.0,96.8,50.5,89.3,25.4,33.0,47.0,146.8,N
213,7,21,119.9,359.4,26.1,83.2,76.3,77.9,107.8,0.0,30.3,29.9,48.9,N
214,7,22,79.0,176.8,35.0,59.1,86.5,94.6,99.8,23.2,34.2,25.6,60.4,no
215,7,23,102.5,198.0,27.2,41.0,69.8,41.7,50.4,12.4,42.9,36.5,181.1,YES
216,7,24,80.6,151.5,24.0,81.2,84.2,93.8,82.6,31.7,32.1,20.6,53.3,N
217,7,25,131.7,170.1,25.0,94.1,80.2,55.4,107.8,4.3,26.8,37.2,171.4,Y
218,7,26,82.7,246.9,36.9,89.1,56.0,66.2,72.9,18.6,39.3,27.1,172.7,True
219,7,27,158.5,399.9,35.4,42.0,66.6,54.7,130.1,34.7,44.9,48.0,83.2,False
220,7,28,74.3,394.6,26.4,67.3,78.6,80.9,83.7,14.0,40.1,25.6,121.6,NO
221,7,29,153.0,341.7,26.1,42.5,87.6,64.1,133.5,38.9,45.5,50.7,244.7,True
222,7,30,,265.7,25.6,62.6,86.0,58.3,88.4,19.9,30.4,46.9,93.7,no
223,7,31,152.3,179.0,37.1,71.5,90.9,61.3,39.0,30.9,31.7,43.4,19.8,No
224,7,32,106.7,208.2,34.7,75.9,61.7,64.4,21.7,22.7,34.9,31.3,160.8,True
225,8,1,111.2,371.9,37.3,41.9,79.7,58.5,73.2,15.4,44.6,43.2,147.5,NO
226,8,2,75.5,162.0,28.2,77.1,92.1,90.8,149.9,20.6,30.5,19.6,41.5,N
227,8,3,115.9,173.9,35.5,78.0,60.8,81.8,81.0,10.1,36.6,38.1,216.6,YES
228,8,4,141.0,353.5,32.8,69.6,93.8,43.4,71.8,21.3,29.3,38.5,138.0,no
229,8,5,130.0,280.6,38.7,52.5,90.9,82.0,18.6,22.6,40.8,41.1,95.6,no
230,8,6,108.0,211.0,37.3,70.6,58.6,87.3,62.7,4.4,44.0,32.8,234.3,yes
231,8,7,80.0,299.8,24.6,94.0,55.4,55.2,20.9,18.3,39.6,19.9,117.6,NO
232,8,8,150.8,154.0,40.4,94.0,74.1,50.5,117.4,17.9,28.7,42.1,63.5,False
233,8,9,58.9,309.9,33.5,42.2,64.2,72.1,112.1,11.7,47.1,28.7,173.4,YES
234,8,10,68.9,295.8,27.4,77.1,81.6,90.9,45.6,13.1,28.4,19.9,173.2,Y
235,8,11,74.0,357.8,31.9,59.9,89.2,84.7,31.7,29.8,38.1,25.3,17.3,False
236,8,12,77.0,184.9,24.7,59.9,61.6,69.7,118.2,13.9,40.5,27.8,242.6,yes
237,8,13,131.9,262.2,28.2,62.3,59.3,72.3,53.8,14.2,46.2,39.5,193.6,TRUE
238,8,14,81.6,282.6,25.0,69.9,81.3,90.2,156.6,12.0,30.1,27.3,181.3,Y
239,8,15,74.0,211.8,38.3,65.5,68.3,86.5,41.8,17.8,37.1,28.1,167.7,yes
240,8,16,58.7,191.1,26.6,56.6,62.5,77.5,138.8,0.5,44.0,19.7,16.9,False
241,8,17,96.7,273.5,26.6,,59.4,80.5,46.0,12.2,54.0,34.2,163.2,Y
242,8,18,85.2,330.9,27.8,62.3,,74.5,29.0,23.3,38.6,27.5,54.3,0
243,8,19,103.7,242.0,35.9,67.7,82.2,87.2,85.6,20.1,34.8,35.8,112.7,N
244,8,20,84.4,380.6,33.0,79.4,83.8,78.1,32.3,14.0,35.5,25.2,33.8,N
245,8,21,85.8,174.3,31.4,48.2,90.6,63.7,144.5,19.6,38.4,27.8,54.0,no
246,8,22,106.6,234.3,38.4,73.0,69.5,65.9,71.0,21.1,33.1,31.9,85.2,0
247,8,23,140.2,236.0,37.4,44.5,94.8,65.2,75.7,6.7,37.1,44.0,18.6,N
248,8,24,100.9,229.0,37.7,45.1,56.9,65.4,108.8,24.9,53.3,34.5,100.4,0
249,8,25,92.8,220.8,36.7,,90.9,64.3,62.5,13.2,26.9,26.2,233.6,yes
250,8,26,75.1,306.3,34.4,90.3,63.3,65.4,18.4,19.8,30.5,25.5,106.0,0
251,8,27,79.1,285.0,38.5,48.5,82.2,65.9,121.8,17.7,38.9,32.3,236.5,Y
252,8,28,92.1,332.3,36.8,51.0,97.5,57.1,34.8,14.4,36.3,34.6,151.3,YES
253,8,29,160.9,330.7,37.2,69.0,55.6,42.0,139.2,15.7,39.7,42.6,101.5,NO
254,8,30,155.9,180.9,35.3,51.8,64.5,74.9,148.0,15.5,49.3,53.6,228.5,yes
255,8,31,83.9,166.3,36.4,74.2,58.5,75.4,43.6,4.3,38.1,30.1,56.4,False
256,8,32,100.6,161.8,37.3,89.8,94.8,51.1,109.1,16.1,23.6,26.5,82.7,False
257,9,1,120.0,153.4,38.1,91.9,91.2,86.9,157.3,13.8,24.6,30.2,136.4,0
258,9,2,149.0,270.5,33.2,90.0,76.6,41.1,135.7,10.1,32.3,41.8,85.9,no
259,9,3,152.7,323.2,27.2,44.3,62.9,72.6,40.5,10.1,44.9,44.5,103.7,FALSE
260,9,4,79.6,260.5,33.8,62.8,,60.4,34.8,20.1,37.3,26.4,171.5,yes
261,9,5,123.6,392.8,37.2,49.9,55.7,42.1,18.9,17.9,48.5,40.7,151.9,True
262,9,6,73.9,211.3,41.3,47.4,58.8,87.5,152.9,14.4,50.6,28.2,57.3,No
