fact_id,date_id,state_id,program_id,program_coverage_pct,people_screened,beneficiaries_reached,maternal_health_beneficiaries,child_immunization_count,children_population,adults_population,elderly_population,high_risk_individuals,chronic_disease_patients,health_vulnerability_index,socioeconomic_score
19,1,4,1,49.6,115883.0,49238.0,10876,18574205.0,30532941,70386751,13517862,11676,5396,100.0,68.4
20,1,4,2,37.2,69284.0,35891.0,6995,29126007.0,30532941,70386751,13517862,6778,2149,,34.2
21,1,4,3,72.0,115406.0,67149.0,16026,24864371.0,30532941,70386751,13517862,10453,9299,30.5,57.8
22,1,4,4,89.0,111447.0,97796.0,19038,23236793.0,30532941,70386751,13517862,17328,15425,13.7,36.8
23,1,4,5,98.5,170992.0,92470.0,26991,22120429.0,30532941,70386751,13517862,22466,12198,28.2,0.0
24,1,4,6,85.1,150244.0,100837.0,33496,23407125.0,30532941,70386751,13517862,9638,15947,64.9,57.1
25,1,5,1,48.0,20873.0,17922.0,3330,4591226.0,7141922,16403404,2836515,4078,2152,52.8,36.5
26,1,5,2,73.3,18590.0,12423.0,1759,4710992.0,7141922,16403404,2836515,982,633,59.6,76.7
27,1,5,3,37.5,44125.0,23231.0,4691,4967321.0,7141922,16403404,2836515,1339,2762,,50.9
28,1,5,4,95.1,59817.0,46880.0,14698,6587071.0,7141922,16403404,2836515,6248,3695,76.1,49.4
29,1,5,5,38.9,67436.0,50731.0,6958,5060066.0,7141922,16403404,2836515,6667,6450,57.3,59.8
30,1,5,6,38.8,75137.0,45969.0,5534,5020299.0,7141922,16403404,2836515,5518,2128,54.3,61.8
31,1,6,1,52.5,3995.0,2111.0,639,301937.0,392251,952345,141510,149,376,43.5,58.3
32,1,6,2,67.0,2791.0,1379.0,450,281089.0,392251,952345,141510,104,196,39.8,33.1
33,1,6,3,81.8,4632.0,,469,346040.0,392251,952345,141510,760,248,37.0,62.5
34,1,6,4,45.7,2512.0,1916.0,597,277256.0,392251,952345,141510,99,310,56.7,63.2
35,1,6,5,91.4,2567.0,1128.0,305,273856.0,392251,952345,141510,90,150,52.5,30.5
36,1,6,6,52.8,2868.0,1841.0,597,,392251,952345,141510,317,91,40.5,61.0
37,1,7,1,45.2,204572.0,88774.0,19064,13079355.0,19972926,39175300,8322291,21639,11109,38.6,40.0
38,1,7,2,44.1,169509.0,79262.0,11297,17211013.0,19972926,39175300,8322291,17545,6023,70.5,98.7
39,1,7,3,80.0,127781.0,57874.0,13749,13615101.0,19972926,39175300,8322291,4151,9734,59.5,51.8
40,1,7,4,95.4,59302.0,52815.0,6653,12866486.0,19972926,39175300,8322291,12293,2514,80.3,36.4
41,1,7,5,96.4,51607.0,41583.0,14367,13317161.0,19972926,39175300,8322291,6791,5740,57.6,42.1
42,1,7,6,85.6,82973.0,42564.0,14361,17285779.0,19972926,39175300,8322291,6394,6040,49.8,38.2
43,1,8,1,47.3,36428.0,27809.0,2851,5874754.0,8618914,16830480,2654210,5359,4715,79.0,73.1
44,1,8,2,75.9,82248.0,40871.0,10655,8055578.0,8618914,16830480,2654210,3380,1750,52.6,70.6
45,1,8,3,91.5,24367.0,11587.0,2263,6396863.0,8618914,16830480,2654210,1245,777,49.1,75.2
46,1,8,4,61.7,80399.0,58488.0,7806,6478667.0,8618914,16830480,2654210,9116,5740,50.0,77.3
47,1,8,5,45.1,77059.0,55265.0,6128,7071278.0,8618914,16830480,2654210,13482,7536,52.6,29.4
48,1,8,6,68.0,18917.0,9195.0,1762,7555935.0,8618914,16830480,2654210,797,897,36.7,33.8
49,1,9,1,96.7,20442.0,16838.0,4103,1427575.0,2152427,4422671,959021,1475,1882,70.1,22.6
50,1,9,2,41.9,15862.0,12653.0,3113,1844861.0,2152427,4422671,959021,1869,1494,47.4,81.1
51,1,9,3,54.9,12234.0,6503.0,1882,1850355.0,2152427,4422671,959021,885,430,42.7,58.0
52,1,9,4,38.4,4717.0,1943.0,563,1374354.0,2152427,4422671,959021,309,136,56.7,78.6
53,1,9,5,96.3,17307.0,13816.0,4349,1366336.0,2152427,4422671,959021,2095,1360,18.6,72.9
54,1,9,6,54.9,19353.0,17297.0,2581,1418959.0,2152427,4422671,959021,1842,2359,,56.6
55,1,10,1,45.8,89113.0,36462.0,4565,7023719.0,9910938,21964088,4246995,4356,2542,,9.0
56,1,10,2,39.7,35362.0,20461.0,3625,6726814.0,9910938,21964088,4246995,2231,841,58.9,67.6
57,1,10,3,78.7,36698.0,26906.0,8536,8223654.0,9910938,21964088,4246995,3506,914,52.1,60.1
58,1,10,4,80.9,52880.0,32685.0,3882,8295651.0,9910938,21964088,4246995,6984,1456,46.3,65.1
59,1,10,5,65.1,91466.0,47165.0,16324,9614752.0,9910938,21964088,4246995,9866,7448,50.5,33.4
60,1,10,6,49.2,58725.0,29099.0,6694,,9910938,21964088,4246995,5455,3956,62.1,53.5
61,1,11,1,116.1,168381.0,130627.0,29677,14414741.0,16248472,40535694,6407976,23071,17170,48.7,56.0
62,1,11,2,77.6,58277.0,49255.0,12802,11916717.0,16248472,40535694,6407976,6595,4000,57.7,68.2
63,1,11,3,78.2,41773.0,27681.0,6083,10758998.0,16248472,40535694,6407976,4545,4481,33.7,33.4
64,1,11,4,78.3,197301.0,177487.0,42104,10463709.0,16248472,40535694,6407976,29536,28444,85.3,39.6
65,1,11,5,88.3,183534.0,158337.0,32565,10290958.0,16248472,40535694,6407976,37401,24914,55.4,78.5
66,1,11,6,43.9,97846.0,71331.0,20935,10519412.0,16248472,40535694,6407976,17602,12519,22.7,69.6
67,1,12,1,90.6,80287.0,64921.0,14701,7657273.0,10147536,20237549,4709286,10026,6827,,38.8
68,1,12,2,63.8,31719.0,15774.0,1581,9240471.0,10147536,20237549,4709286,2938,936,41.4,43.5
69,1,12,3,42.3,,36467.0,5798,9338867.0,10147536,20237549,4709286,8873,2458,72.0,67.9
70,1,12,4,94.7,30084.0,26662.0,4474,6375640.0,10147536,20237549,4709286,4044,933,42.3,39.1
71,1,12,5,49.0,98091.0,78514.0,17157,9557959.0,10147536,20237549,4709286,19329,8249,53.0,68.3
72,1,12,6,45.5,18226.0,10122.0,2422,8343307.0,10147536,20237549,4709286,1449,1785,23.6,62.4
73,1,13,1,53.0,52943.0,33086.0,4994,21291642.0,22505223,48707864,8290323,6372,5045,76.8,53.9
74,1,13,2,47.2,107523.0,64854.0,12308,20887654.0,22505223,48707864,8290323,7571,2723,75.3,60.3
75,1,13,3,93.2,170806.0,71868.0,7701,20873193.0,22505223,48707864,8290323,16290,8181,6.3,71.9
76,1,13,4,53.0,159582.0,69704.0,22603,21872937.0,22505223,48707864,8290323,11650,11148,48.0,65.6
77,1,13,5,54.0,,64391.0,15876,14646605.0,22505223,48707864,8290323,15819,2125,30.8,62.6
78,1,13,6,43.6,252764.0,156708.0,42072,21980275.0,22505223,48707864,8290323,36669,6017,75.3,61.3
79,1,14,1,84.8,297535.0,153416.0,25363,28920041.0,31601977,73895902,10789734,27524,15870,,44.7
80,1,14,2,90.8,365278.0,166929.0,55740,24190565.0,31601977,73895902,10789734,32859,22588,48.8,68.5
81,1,14,3,64.1,77381.0,51628.0,12193,24460360.0,31601977,73895902,10789734,6695,3623,88.0,56.5
82,1,14,4,86.5,329584.0,255069.0,88871,28463638.0,31601977,73895902,10789734,63674,39448,60.8,28.5
83,1,14,5,39.8,89188.0,63613.0,18932,21400968.0,31601977,73895902,10789734,15661,2174,46.6,42.6
84,1,14,6,60.6,262663.0,207210.0,28571,28547019.0,31601977,73895902,10789734,51250,25204,79.7,28.2
85,1,15,1,94.1,4378.0,2497.0,653,516146.0,795115,1771892,377366,594,291,36.8,55.3
86,1,15,2,60.2,7564.0,4825.0,620,711638.0,795115,1771892,377366,663,328,52.5,63.7
87,1,15,3,59.6,5448.0,3150.0,454,680507.0,795115,1771892,377366,546,399,78.9,63.7
88,1,15,4,67.5,8436.0,,1654,694416.0,795115,1771892,377366,1504,989,45.6,62.1
89,1,15,5,45.8,4423.0,2771.0,752,528859.0,795115,1771892,377366,676,384,73.8,64.7
90,1,15,6,64.8,5593.0,2758.0,956,574190.0,795115,1771892,377366,354,330,20.3,42.1
91,1,16,1,74.3,6701.0,5725.0,1357,951370.0,980367,1891884,284968,1299,630,43.3,55.3
92,1,16,2,91.2,1713.0,811.0,203,605194.0,980367,1891884,284968,154,57,48.0,31.8
93,1,16,3,84.2,2248.0,1521.0,359,680842.0,980367,1891884,284968,204,120,35.3,68.4
94,1,16,4,71.4,3958.0,2202.0,589,769173.0,980367,1891884,284968,303,324,41.4,13.1
95,1,16,5,56.9,6337.0,5009.0,1210,653666.0,980367,1891884,284968,1091,285,40.5,60.9
96,1,16,6,57.2,3370.0,2615.0,618,769317.0,980367,1891884,284968,248,173,52.4,77.8
97,1,17,1,40.4,2924.0,2478.0,794,205843.0,326730,721184,127174,315,158,60.9,61.9
98,1,17,2,86.2,2603.0,2106.0,408,300730.0,326730,721184,127174,424,277,42.2,27.0
99,1,17,3,95.3,1041.0,868.0,91,237047.0,326730,721184,127174,72,46,50.1,82.1
100,1,17,4,97.3,1873.0,1453.0,462,308445.0,326730,721184,127174,285,45,16.9,43.0
101,1,17,5,74.4,2709.0,1200.0,370,210878.0,326730,721184,127174,64,117,66.1,31.7
102,1,17,6,80.4,1103.0,826.0,214,287344.0,326730,721184,127174,149,143,67.3,61.1
103,1,18,1,63.6,2334.0,1562.0,529,583427.0,607668,1214919,250851,-316,78,62.3,40.5
104,1,18,2,43.1,2687.0,2075.0,640,376415.0,607668,1214919,250851,394,357,70.5,75.4
105,1,18,3,97.8,4851.0,3339.0,754,407867.0,607668,1214919,250851,432,443,88.1,74.8
106,1,18,4,53.0,3072.0,1531.0,426,449129.0,607668,1214919,250851,259,93,58.8,41.0
107,1,18,5,95.8,,2411.0,711,507200.0,607668,1214919,250851,360,421,62.3,38.1
108,1,18,6,94.5,,3014.0,680,469684.0,607668,1214919,250851,719,228,70.0,29.9
109,1,19,1,75.0,116132.0,88068.0,27339,8519087.0,13013371,28275717,5486529,7965,14212,61.7,93.3
110,1,19,2,58.6,63869.0,42337.0,10180,10591574.0,13013371,28275717,5486529,9512,2899,57.1,71.9
111,1,19,3,84.1,42886.0,19004.0,3972,10089699.0,13013371,28275717,5486529,2498,1657,10.5,51.3
112,1,19,4,84.2,122098.0,62573.0,9603,11227465.0,13013371,28275717,5486529,7206,5219,41.6,49.7
113,1,19,5,98.2,29204.0,22439.0,2412,10499051.0,13013371,28275717,5486529,1717,3130,45.3,31.8
114,1,19,6,90.2,99475.0,52933.0,16846,9834744.0,13013371,28275717,5486529,5546,5855,46.4,30.9
115,1,20,1,67.7,16973.0,12559.0,3575,7153999.0,7779696,17800804,4206960,2771,1386,54.4,68.6
116,1,20,2,35.5,25167.0,21581.0,6719,4934962.0,7779696,17800804,4206960,3126,3379,39.8,24.8
117,1,20,3,83.0,48090.0,35793.0,10416,6585097.0,7779696,17800804,4206960,3119,3884,43.5,49.6
118,1,20,4,80.9,40460.0,21592.0,5318,7084111.0,7779696,17800804,4206960,3588,1197,50.4,60.5
119,1,20,5,38.5,23774.0,20189.0,4577,5576935.0,7779696,17800804,4206960,2286,923,74.6,42.4
120,1,20,6,61.7,52634.0,21732.0,2702,4852852.0,7779696,17800804,4206960,3246,2112,,58.0
121,1,21,1,99.0,137237.0,108742.0,22171,17899185.0,22464657,46794641,8610844,20838,7785,28.7,62.6
122,1,21,2,83.6,196832.0,82345.0,17460,20950179.0,22464657,46794641,8610844,18980,5323,59.1,64.6
123,1,21,3,85.3,62568.0,52762.0,15319,,22464657,46794641,8610844,8550,5611,33.2,68.6
124,1,21,4,69.5,61331.0,25676.0,3821,21108890.0,22464657,46794641,8610844,2611,3259,36.5,67.3
125,1,21,5,81.9,159749.0,136440.0,27006,13907650.0,22464657,46794641,8610844,31492,22945,52.5,68.7
126,1,21,6,63.8,51177.0,31552.0,4457,16987155.0,22464657,46794641,8610844,4328,2932,64.3,73.4
127,1,22,1,56.0,665.0,417.0,78,129967.0,183668,428448,91145,88,71,27.8,77.5
128,1,22,2,62.3,928.0,638.0,101,159029.0,183668,428448,91145,154,39,,18.4
129,1,22,3,52.6,1601.0,1068.0,262,134205.0,183668,428448,91145,87,123,74.9,100.0
130,1,22,4,92.5,1735.0,780.0,224,160464.0,183668,428448,91145,158,118,22.1,75.5
131,1,22,5,93.1,746.0,413.0,73,156706.0,183668,428448,91145,77,16,26.9,70.2
132,1,22,6,69.1,368.0,226.0,69,157898.0,183668,428448,91145,35,14,50.0,55.4
133,1,23,1,49.7,106672.0,54833.0,6936,16643008.0,22656985,42935575,8185381,12248,9178,2.6,44.0
134,1,23,2,65.0,72091.0,37502.0,12005,15957897.0,22656985,42935575,8185381,6555,2613,56.4,73.2
135,1,23,3,88.7,182555.0,138075.0,17654,14961451.0,22656985,42935575,8185381,8777,23471,54.0,48.7
136,1,23,4,98.2,84112.0,57592.0,7104,16127417.0,22656985,42935575,8185381,7300,6148,41.1,52.9
137,1,23,5,50.7,,140485.0,30882,18197855.0,22656985,42935575,8185381,21909,10296,28.3,38.7
138,1,23,6,71.9,217927.0,118395.0,18672,21338105.0,22656985,42935575,8185381,6544,13345,50.7,16.2
139,1,24,1,62.8,31840.0,19131.0,4302,8836968.0,11862032,22211111,5025697,3024,1385,28.9,79.6
140,1,24,2,80.8,56401.0,34005.0,6361,7520154.0,11862032,22211111,5025697,8207,2642,75.7,65.2
141,1,24,3,91.5,65020.0,55236.0,11677,8255343.0,11862032,22211111,5025697,4432,5658,52.7,66.9
142,1,24,4,78.0,62119.0,55124.0,16861,10811693.0,11862032,22211111,5025697,2798,3292,54.9,47.3
143,1,24,5,97.2,114459.0,77344.0,9538,10571664.0,11862032,22211111,5025697,16425,4983,37.5,67.4
144,1,24,6,93.2,93944.0,70073.0,23935,9725352.0,11862032,22211111,5025697,6450,8212,48.4,77.1
145,1,25,1,48.4,7273.0,6209.0,2036,1150558.0,1191965,2517576,505315,667,989,57.0,67.3
146,1,25,2,58.7,11824.0,6049.0,1129,747388.0,1191965,2517576,505315,381,407,48.9,77.2
147,1,25,3,69.1,10014.0,5456.0,1373,966599.0,1191965,2517576,505315,1188,271,72.0,60.5
148,1,25,4,93.1,3653.0,1915.0,378,1035929.0,1191965,2517576,505315,374,299,45.2,80.4
149,1,25,5,69.8,9765.0,6878.0,2040,1040810.0,1191965,2517576,505315,762,759,34.1,58.7
150,1,25,6,96.3,9536.0,5096.0,1039,1031876.0,1191965,2517576,505315,624,172,27.6,65.9
151,1,26,1,55.4,238343.0,143196.0,42840,59812284.0,67042224,129928688,29639975,23788,8134,54.9,31.8
152,1,26,2,64.9,217819.0,104634.0,12995,53955503.0,67042224,129928688,29639975,11114,13044,43.6,46.5
153,1,26,3,85.3,664113.0,321364.0,105742,40375324.0,67042224,129928688,29639975,57264,50485,39.5,52.7
154,1,26,4,58.2,562108.0,248530.0,68856,53723116.0,67042224,129928688,29639975,26976,23722,64.3,70.1
155,1,26,5,49.5,523977.0,455234.0,138880,52479960.0,67042224,129928688,29639975,49006,27988,53.3,38.4
156,1,26,6,86.1,576948.0,494613.0,153471,57798656.0,67042224,129928688,29639975,26242,52057,86.4,99.5
157,1,27,1,64.6,36910.0,,4840,4443402.0,4947180,12509841,1685836,1632,3104,45.3,49.8
158,1,27,2,58.8,52602.0,32030.0,4987,3492315.0,4947180,12509841,1685836,6571,2249,57.0,32.9
159,1,27,3,55.4,56784.0,41464.0,13536,4481005.0,4947180,12509841,1685836,9398,7002,47.1,53.0
160,1,27,4,38.0,30825.0,24586.0,4366,3111109.0,4947180,12509841,1685836,1475,3509,36.6,79.0
161,1,27,5,70.5,24177.0,21144.0,5847,3184032.0,4947180,12509841,1685836,2298,2476,90.5,80.0
162,1,27,6,48.3,56667.0,34624.0,5172,,4947180,12509841,1685836,5120,5141,,56.5
163,1,28,1,93.1,239878.0,121938.0,29176,28116666.0,29727320,57343231,11254249,26754,16102,52.3,78.5
164,1,28,2,51.8,249155.0,143082.0,38329,23213907.0,29727320,57343231,11254249,10710,6493,36.6,45.1
165,1,28,3,90.3,286172.0,156455.0,32691,22278241.0,29727320,57343231,11254249,35024,21944,62.7,46.6
166,1,28,4,59.6,209550.0,112966.0,17739,23999690.0,29727320,57343231,11254249,18742,16457,60.8,28.0
167,1,28,5,70.1,296276.0,146794.0,25150,22180151.0,29727320,57343231,11254249,23543,21181,40.6,24.5
168,1,28,6,87.2,220827.0,196859.0,27866,25783813.0,29727320,57343231,11254249,33880,16052,44.2,67.4
169,1,29,1,57.5,26628.0,13370.0,2791,7520133.0,8277755,18935934,3020092,1428,2066,55.8,35.4
170,1,29,2,83.0,93344.0,39792.0,12320,6685457.0,8277755,18935934,3020092,5524,2980,33.7,64.4
171,1,29,3,97.3,79158.0,33736.0,8923,5364061.0,8277755,18935934,3020092,8021,2872,7.9,42.9
172,1,29,4,80.8,56540.0,25949.0,2867,5331909.0,8277755,18935934,3020092,3497,3161,64.3,58.5
173,1,29,5,64.9,58576.0,24808.0,4560,7862676.0,8277755,18935934,3020092,2049,3067,50.7,57.0
174,1,29,6,53.1,35454.0,26596.0,4625,6921739.0,8277755,18935934,3020092,2750,1388,37.3,35.2
175,1,30,1,89.3,25719.0,11360.0,2454,2425105.0,3588317,8278100,1186896,854,1972,79.4,43.4
176,1,30,2,61.5,13028.0,10841.0,2453,,3588317,8278100,1186896,1992,1489,60.8,32.7
177,1,30,3,75.5,21647.0,14354.0,3641,3508790.0,3588317,8278100,1186896,3390,546,71.5,49.7
178,1,30,4,39.8,7175.0,6303.0,1753,2500702.0,3588317,8278100,1186896,623,518,56.5,40.3
179,1,30,5,43.6,40033.0,,8555,2453326.0,3588317,8278100,1186896,4186,5629,55.2,14.4
180,1,30,6,63.2,17346.0,13547.0,3714,2888435.0,3588317,8278100,1186896,3365,2368,55.5,33.2
181,1,31,1,82.7,815.0,483.0,124,56317.0,88614,180486,37364,45,42,76.2,38.1
182,1,31,2,54.8,540.0,336.0,95,76506.0,88614,180486,37364,61,21,36.0,44.7
183,1,31,3,72.1,747.0,410.0,80,61298.0,88614,180486,37364,20,25,41.5,11.8
184,1,31,4,46.1,575.0,267.0,73,68467.0,88614,180486,37364,22,21,61.5,53.5
185,1,31,5,52.6,859.0,413.0,70,85870.0,88614,180486,37364,44,29,42.0,62.9
186,1,31,6,69.4,898.0,403.0,70,73345.0,88614,180486,37364,94,49,32.5,58.3
187,1,32,1,38.7,818.0,691.0,221,293271.0,408409,845336,137123,83,53,53.9,55.3
188,1,32,2,86.4,3810.0,2188.0,424,312876.0,408409,845336,137123,322,142,36.2,33.0
189,1,32,3,62.8,3997.0,3394.0,784,344089.0,408409,845336,137123,735,138,64.6,67.4
190,1,32,4,65.0,2009.0,1185.0,340,267482.0,408409,845336,137123,273,43,18.7,64.0
191,1,32,5,74.6,1891.0,1289.0,245,296895.0,408409,845336,137123,297,121,80.6,67.9
192,1,32,6,57.1,3941.0,3313.0,1015,375865.0,408409,845336,137123,550,143,60.4,65.7
193,2,1,1,88.4,142372.0,65548.0,10297,10114588.0,14278918,29971451,5224605,13963,3568,48.3,80.7
194,2,1,2,92.5,72974.0,34289.0,9107,10013554.0,14278918,29971451,5224605,7501,4477,66.0,53.9
195,2,1,3,91.9,54979.0,36907.0,12789,10890861.0,14278918,29971451,5224605,3755,3210,27.7,74.5
196,2,1,4,84.8,117090.0,49911.0,14126,11581833.0,14278918,29971451,5224605,2879,3638,64.9,88.4
197,2,1,5,43.0,153139.0,67262.0,6782,,14278918,29971451,5224605,16383,5260,64.4,68.5
198,2,1,6,68.4,90291.0,60699.0,18543,9764893.0,14278918,29971451,5224605,10726,7507,59.2,11.9
199,2,2,1,79.5,3393.0,1540.0,337,260843.0,405074,930081,219302,234,134,40.4,32.0
200,2,2,2,74.4,2319.0,1660.0,248,352616.0,405074,930081,219302,387,108,24.3,22.1
201,2,2,3,81.2,2922.0,2547.0,271,302977.0,405074,930081,219302,242,93,49.5,82.1
202,2,2,4,56.5,2653.0,1927.0,318,326266.0,405074,930081,219302,292,282,51.6,51.3
203,2,2,5,48.9,3122.0,1469.0,325,380995.0,405074,930081,219302,165,150,72.3,76.4
204,2,2,6,55.5,2035.0,1486.0,219,253763.0,405074,930081,219302,202,66,28.7,28.5
205,2,3,1,85.3,61070.0,45383.0,11895,6463676.0,9785227,20142639,3843446,3266,5549,67.1,20.4
206,2,3,2,38.2,91660.0,73014.0,15342,7595501.0,9785227,20142639,3843446,9543,3131,66.2,34.6
207,2,3,3,37.7,31228.0,23497.0,5459,9083702.0,9785227,20142639,3843446,3272,3757,55.3,73.1
208,2,3,4,37.4,42449.0,29313.0,8926,9185356.0,9785227,20142639,3843446,2264,886,52.2,56.5
209,2,3,5,52.4,101333.0,69752.0,23965,8319023.0,9785227,20142639,3843446,5105,9761,36.9,88.5
210,2,3,6,47.3,48371.0,,5510,6244226.0,9785227,20142639,3843446,8760,2525,11.0,61.4
211,2,4,1,38.1,228399.0,134043.0,15249,22050995.0,35425708,73382906,12754834,10081,9449,60.7,40.5
212,2,4,2,89.9,361632.0,256862.0,75317,29563621.0,35425708,73382906,12754834,24118,20876,51.0,79.5
213,2,4,3,77.0,94525.0,,18353,31867509.0,35425708,73382906,12754834,4313,8848,50.5,29.8
214,2,4,4,83.7,152389.0,127608.0,42198,22104725.0,35425708,73382906,12754834,27719,15328,56.3,42.5
215,2,4,5,67.5,320134.0,209541.0,21434,30418019.0,35425708,73382906,12754834,33701,10557,47.9,91.5
216,2,4,6,41.2,323002.0,221475.0,38049,29465167.0,35425708,73382906,12754834,35870,9184,,71.4
217,2,5,1,92.7,26528.0,11756.0,1888,6063894.0,7100749,17941190,3248456,2363,953,37.0,15.0
218,2,5,2,35.9,22857.0,20306.0,2585,6793133.0,7100749,17941190,3248456,2490,3460,37.8,72.9
219,2,5,3,75.4,60632.0,28026.0,8459,4676855.0,7100749,17941190,3248456,1544,4430,88.4,73.8
220,2,5,4,96.8,87607.0,67180.0,15016,5372604.0,7100749,17941190,3248456,9908,7369,61.0,57.0
221,2,5,5,42.5,35922.0,27960.0,5385,6294025.0,7100749,17941190,3248456,1875,3410,48.5,48.7
222,2,5,6,65.4,34390.0,14514.0,4667,5569312.0,7100749,17941190,3248456,3125,508,61.4,75.8
223,2,6,1,48.1,4278.0,,1276,273116.0,404757,907058,149997,404,343,58.6,53.3
224,2,6,2,61.2,3873.0,2211.0,524,357845.0,404757,907058,149997,477,330,59.2,84.3
225,2,6,3,43.3,1392.0,615.0,212,277487.0,404757,907058,149997,134,72,50.1,54.8
226,2,6,4,40.8,3175.0,,512,317220.0,404757,907058,149997,142,128,50.6,45.6
227,2,6,5,37.8,3043.0,,400,,404757,907058,149997,226,108,63.7,71.9
228,2,6,6,84.6,1843.0,1518.0,335,366197.0,404757,907058,149997,201,263,58.2,53.7
229,2,7,1,37.5,194165.0,97856.0,12864,14635238.0,20840420,42153076,8130168,22041,5230,27.8,43.2
230,2,7,2,37.5,66308.0,55592.0,5814,14658114.0,20840420,42153076,8130168,8505,3304,78.2,59.0
231,2,7,3,64.0,75150.0,65781.0,17983,17389287.0,20840420,42153076,8130168,7253,5491,24.6,58.9
232,2,7,4,64.9,141434.0,121478.0,15375,15803132.0,20840420,42153076,8130168,28775,6025,77.0,60.8
233,2,7,5,46.3,162972.0,74997.0,18165,16510406.0,20840420,42153076,8130168,13755,11842,57.2,99.7
234,2,7,6,60.0,111339.0,46028.0,9612,15321498.0,20840420,42153076,8130168,6599,5445,39.2,53.0
235,2,8,1,74.3,32984.0,22554.0,7810,4481779.0,7089258,16035616,2749164,3837,815,55.2,52.5
236,2,8,2,75.0,63069.0,36531.0,6167,6383041.0,7089258,16035616,2749164,5879,1645,51.7,32.8
237,2,8,3,74.7,51642.0,44988.0,13624,6680412.0,7089258,16035616,2749164,7073,2325,73.7,60.0
238,2,8,4,80.3,81983.0,69723.0,23592,4374686.0,7089258,16035616,2749164,3572,8703,48.7,42.0
239,2,8,5,94.0,64852.0,34024.0,7191,6597516.0,7089258,16035616,2749164,5953,3454,52.1,51.5
240,2,8,6,83.8,22352.0,15962.0,4289,6424322.0,7089258,16035616,2749164,2360,2749,70.9,66.7
241,2,9,1,86.2,,3238.0,442,1342872.0,1912093,4123180,1021727,668,239,62.2,60.5
242,2,9,2,80.9,9618.0,5423.0,867,1268855.0,1912093,4123180,1021727,801,407,55.4,86.0
243,2,9,3,81.1,10655.0,7303.0,1332,1845641.0,1912093,4123180,1021727,688,711,62.2,42.6
244,2,9,4,63.4,21621.0,14851.0,3909,1661547.0,1912093,4123180,1021727,2830,2583,59.4,49.1
245,2,9,5,53.5,16006.0,11009.0,2382,1612898.0,1912093,4123180,1021727,1571,1457,29.3,74.7
246,2,9,6,44.1,12406.0,5973.0,1043,1781634.0,1912093,4123180,1021727,1448,1061,64.6,32.7
247,2,10,1,68.9,30527.0,24922.0,7785,8909655.0,11489475,23694677,3725987,5219,1684,44.3,81.0
248,2,10,2,86.2,20649.0,10001.0,1553,9918432.0,11489475,23694677,3725987,-515,1753,32.5,46.1
249,2,10,3,83.8,107634.0,96410.0,26353,11021545.0,11489475,23694677,3725987,15545,6732,,57.2
250,2,10,4,86.5,60060.0,52437.0,13470,10121517.0,11489475,23694677,3725987,4694,3413,33.2,30.5
251,2,10,5,69.9,103669.0,53842.0,14457,10940473.0,11489475,23694677,3725987,11115,9426,27.6,70.5
252,2,10,6,65.7,65739.0,52496.0,6508,9788355.0,11489475,23694677,3725987,5798,7120,78.2,68.9
253,2,11,1,65.0,52444.0,37459.0,11057,15645038.0,17293071,37715596,7347259,2460,5339,57.7,67.1
