outbreak_id,date_id,state_id,disease_id,source_id,new_outbreak_flag,controlled_flag,containment_rate_pct,response_time_hours,alert_level,predicted_cases,historical_cases,forecast_accuracy_pct,hospital_readiness_score,resource_readiness_score,emergency_alert_flag,state_name_raw
89,33,27,3,3,Y,No,100.0,17.2,Low,245,198,79.6,63.3,60.1,NO,Uttarakhand
90,26,25,8,4,YES,Y,71.6,56.2,High,422,445,91.7,81.7,95.2,Yes,Tripura
91,13,31,12,2,YES,TRUE,53.6,30.7,High,5139,4504,89.3,73.8,30.7,TRUE,Ladakh
92,19,25,2,4,YES,Y,49.5,56.0,Moderate,1089,1146,91.7,78.2,100.0,N,Tripura
93,14,14,1,1,True,Y,91.4,31.8,Moderate,5171,4565,85.9,49.9,40.4,N,Maharashtra
94,7,20,3,2,yes,1,,12.3,Low,6147,4516,60.4,53.6,48.5,NO,Punjab
95,8,26,9,4,yes,N,75.3,63.4,Low,6644,4783,60.6,76.4,67.5,No,Uttar Pradesh
96,17,25,6,5,Y,Yes,73.4,86.6,High,2033,1957,99.7,74.0,56.0,YES,Tripura
97,25,15,1,4,TRUE,1,66.1,68.9,Moderate,232,212,95.1,75.7,56.7,FALSE,Manipur
98,15,26,12,3,1,YES,63.3,56.9,Moderate,1928,2581,,89.6,60.8,FALSE,Uttar Pradesh
99,10,8,11,1,Y,yes,,39.2,Low,2164,1728,73.2,,56.9,0,Haryana
100,15,18,2,4,TRUE,TRUE,39.4,18.5,Low,3538,3871,94.6,68.0,40.3,NO,Nagaland
101,7,6,9,2,yes,Y,56.7,65.9,Low,3868,3863,100.0,58.3,48.1,No,Goa
102,34,13,1,6,1,True,90.8,85.1,Low,1887,2444,80.9,70.6,70.8,N,Madhya Pradesh
103,4,31,6,6,True,True,,95.8,Moderate,4956,4165,80.4,43.6,49.6,FALSE,Ladakh
104,34,17,10,5,Y,1,33.9,15.5,Low,4414,3475,73.9,41.9,67.3,0,Mizoram
105,4,21,3,4,Yes,No,90.0,8.6,Low,1774,2114,79.2,81.0,57.9,no,Rajasthan
106,35,27,6,6,Yes,0,46.9,83.6,Low,1664,1815,,69.8,52.6,0,Uttarakhand
107,35,7,1,6,True,TRUE,,19.4,Low,556,547,100.0,92.5,72.4,False,Gujarat
108,21,27,4,1,YES,1,76.1,88.5,Low,543,742,68.5,75.0,99.8,N,uttarakhand
109,24,23,8,4,Yes,N,41.6,81.8,Moderate,2920,3209,92.2,95.3,50.7,0,Tamil Nadu
110,20,27,4,1,Yes,1,,71.1,Moderate,1026,1421,77.0,83.0,82.4,False,Uttarakhand
111,14,4,7,1,True,YES,81.5,4.7, High ,82,66,75.3,82.0,49.8,FALSE,Bihar
112,1,32,2,2,True,TRUE,41.2,85.9,Low,1802,1933,97.4,41.6,82.1,FALSE,Puducherry
113,11,8,7,1,True,True,100.0,6.4,High,1527,1109,64.7,60.9,78.9,YES,Haryana
114,5,31,10,5,Yes,False,,2.3,Low,3534,3097,83.5,39.8,96.5,False,Ladakh
115,3,20,12,4,TRUE,YES,,49.2,Low,2977,2324,73.5,62.8,82.6,0,Punjab
116,23,19,6,2,yes,TRUE,50.9,7.9,Low,4654,4659,99.1,64.2,46.1,N,Odisha
117,16,8,3,6,YES,1,41.5,77.7,Low,2225,3081,73.6,73.3,75.5,FALSE,Haryana
118,10,10,6,3,Yes,False,,46.6,High,121,110,86.8,44.1,94.2,1,Jharkhand
119,12,21,9,6,True,False,49.1,31.8,Low,5589,4142,65.4,36.3,55.7,no,Rajasthan
120,32,27,3,6,YES,FALSE,49.2,63.7,Low,426,316,,57.4,70.0,NO,Uttarakhand
121,26,3,2,5,1,yes,88.8,19.2,Low,4493,3338,61.3,77.8,36.2,no,Assam
122,17,7,4,3,YES,No,60.5,17.7,Moderate,3392,4322,81.2,84.3,90.4,no,Gujarat
123,25,14,1,4,1,Y,69.5,55.9,Low,2730,2003,67.4,72.7,74.0,0,Maharashtra
124,22,3,11,3,yes,True,71.4,44.1,Moderate,97,76,75.1,67.6,45.1,0,Assam
125,35,30,3,6,1,1,60.1,25.0,High,3210,3623,88.8,81.8,86.6,True,Jammu and Kashmir
126,12,7,8,2,yes,TRUE,70.9,16.8,Moderate,4620,3340,58.7,80.8,84.3,False,gujarat
127,6,27,7,2,YES,1,73.5,91.4,Low,1611,1553,91.7,74.0,71.0,N,Uttarakhand
128,13,28,8,1,Y,TRUE,92.1,7.8,Moderate,2597,2726,98.6,72.3,88.1,NO,West Bengal
129,19,1,12,6,YES,FALSE,70.8,57.8,Low,4939,4129,83.1,84.1,61.4,NO,Andhra Pradesh
130,18,7,12,2,True,True,71.7,67.6,High,4388,4711,90.6,75.2,86.7,No,Gujarat
131,27,16,3,3,Yes,No,75.1,3.5,Low,1993,1833,92.7,53.7,62.2,0,Meghalaya
132,7,20,5,5,True,True,66.1,,Low,3555,3000,79.3,92.4,54.7,no,Punjab
133,10,2,3,3,Yes,TRUE,64.0,16.3,Low,5108,3980,67.8,66.2,89.2,0,Arunachal Pradesh
134,20,29,7,6,TRUE,1,50.2,74.2,High,2509,2759,89.5,89.4,68.9,Y,Delhi (NCT)
135,5,22,7,5,yes,No,59.1,88.5,Low,1782,1306,60.2,94.7,77.2,no,Sikkim
136,32,23,4,1,YES,Y,61.0,8.7,Moderate,4449,4930,85.7,71.3,47.7,No,Tamil Nadu
137,21,20,11,1,TRUE,TRUE,48.8,34.0,Moderate,1678,1259,71.3,45.0,100.0,0,Punjab
138,4,12,7,1,Yes,FALSE,21.4,57.7,Moderate,2352,1929,77.0,65.5,35.3,NO,Kerala
139,21,25,6,5,1,YES,68.7,16.1,Low,6002,4317,65.7,84.2,61.1,No,Tripura
140,12,16,8,5,TRUE,Y,43.7,79.1,Low,3808,3859,100.0,76.7,84.0,0,Meghalaya
141,12,11,10,4,Yes,1,47.7,38.5,Low,3475,3419,96.9,68.5,86.2,no,Karnataka
142,6,5,11,2,1,FALSE,40.0,11.9,Moderate,1956,1755,89.5,81.8,85.4,No,Chhattisgarh
143,15,20,3,2,yes,Yes,43.6,37.7,Moderate,3259,3171,93.0,54.2,58.1,N,Punjab
144,28,12,9,2,YES,False,,,Low,667,934,66.9,47.1,57.1,no,Kerala
145,34,15,4,1,TRUE,1,26.5,50.7,Low,5703,4340,68.1,93.4,77.9,N,Manipur
146,28,17,12,3,True,yes,100.0,46.9,Low,2715,2762,96.1,70.0,79.0,NO,Mizoram
147,19,16,12,5,YES,1,59.0,95.1,Low,146,149,100.0,52.8,67.4,no,Meghalaya
148,22,2,8,1,1,True,42.3,,Low,1964,1752,85.5,81.0,85.1,no,Arunachal Pradesh
149,11,24,10,6,True,Yes,63.4,20.7,High,3521,2872,79.4,88.5,64.4,YES,Telangana
150,28,28,5,1,True,True,39.2,55.7,Low,4094,3936,91.9,,71.5,N,West Bengal
151,26,22,1,5,1,YES,98.8,5.3,Low,2635,2137,80.2,74.2,51.9,No,Sikkim
152,3,22,5,4,YES,yes,43.4,61.7, Moderate ,2784,3740,76.9,100.0,61.3,no,SIKKIM
153,26,25,9,5,1,0,63.8,21.0,Low,2050,2287,,61.3,72.0,0,Tripura
154,17,30,1,6,True,True,69.7,36.9,Low,2095,2365,91.7,88.7,80.8,FALSE,Jammu and Kashmir
155,2,28,10,5,Y,Yes,48.4,34.8,Moderate,760,1017,76.4,68.6,85.6,No,West Bengal
156,2,14,9,4,Yes,yes,46.0,,High,4067,4838,81.5,100.0,59.4,N,Maharashtra
157,31,23,7,6,yes,Yes,69.0,25.2,Low,2542,3619,74.6,69.4,49.9,0,Tamil Nadu
158,33,28,1,6,yes,yes,56.3,43.9,Low,1329,1823,77.1,69.0,47.5,0,West Bengal
159,12,14,5,6,Y,1,55.9,82.6,High,1046,1135,87.9,64.7,72.2,1,Maharashtra
160,21,2,5,4,Y,True,40.1,50.1,High,3449,4334,81.9,92.8,77.4,FALSE,Arunachal Pradesh
161,15,32,6,6,TRUE,yes,53.5,35.1, Low ,647,851,80.2,61.1,48.7,NO,Puducherry
162,36,28,2,5,YES,yes,60.0,79.0,Moderate,434,416,97.3,57.9,61.5,False,West Bengal
163,29,8,5,3,Yes,False,94.9,54.5,Moderate,2570,2266,85.4,79.3,82.9,FALSE,Haryana
164,16,21,12,2,True,N,67.5,12.8,Low,1544,1333,81.4,76.4,100.0,False,Rajasthan
165,20,5,11,5,TRUE,yes,100.0,73.5,Moderate,851,1002,88.0,39.8,81.1,0,Chhattisgarh
166,16,27,9,2,yes,0,66.6,77.2,Moderate,5014,3974,76.3,100.0,53.1,no,Uttarakhand
167,15,2,12,1,True,False,85.6,61.2,Low,106,89,79.1,63.9,75.1,NO,Arunachal Pradesh
168,29,25,10,2,Yes,True,69.9,16.9,High,299,311,,66.1,73.7,no,Tripura
169,33,24,3,3,1,N,82.9,52.0,High,2423,1938,73.0,65.5,48.3,True,Telangana
170,31,4,4,1,YES,TRUE,72.7,83.5,Low,3705,2882,68.0,45.3,96.3,N,Bihar
171,14,17,5,5,yes,Y,,51.0,Low,3841,4020,99.6,39.7,62.9,0,Mizoram
172,25,16,4,2,YES,YES,,82.0,Low,2545,2397,91.3,,91.1,no,Meghalaya
173,29,27,2,1,Y,YES,61.6,77.5,Moderate,1219,981,71.6,51.5,64.3,False,Uttarakhand
174,8,29,5,4,Y,YES,79.3,92.0,Low,4531,4014,84.8,71.7,46.4,FALSE,Delhi (NCT)
175,27,9,7,5,yes,TRUE,89.7,30.4,Low,212,170,71.8,75.3,33.1,No,Himachal Pradesh
176,33,32,8,3,1,yes,50.0,82.7,Low,3724,2692,63.6,88.7,76.7,FALSE,Puducherry
177,19,16,5,2,1,no,68.0,20.8,Moderate,2362,2481,98.6,50.9,57.1,False,Meghalaya
178,13,29,12,1,True,True,80.7,50.6,Low,929,689,64.1,84.1,64.4,NO,DELHI (NCT)
179,31,25,8,1,yes,True,85.2,35.0,Low,444,502,87.9,57.8,97.3,NO,Tripura
180,2,31,7,5,Y,yes,73.5,67.5,Low,3348,4156,81.6,86.3,71.3,NO,Ladakh
181,20,6,2,2,TRUE,True,61.1,30.6,Low,2319,3152,71.1,91.2,72.9,NO,Goa
182,4,4,1,3,TRUE,Yes,66.2,62.7,Low,2872,2474,85.9,71.6,33.8,False,Bihar
183,27,24,7,2,TRUE,yes,44.3,91.2,Moderate,2391,3326,73.0,46.9,57.5,FALSE,Telangana
184,17,22,4,6,Y,yes,54.0,45.7,High,2240,1804,72.1,,82.1,YES,Sikkim
185,22,12,4,4,Y,No,48.6,88.5,Low,1505,2078,71.5,100.0,84.3,FALSE,Kerala
186,1,3,5,1,Yes,Yes,64.6,83.2,High,3369,4038,87.4,40.7,29.6,TRUE,Assam
187,16,20,10,4,Yes,No,59.0,76.9,Moderate,698,765,89.6,78.3,68.6,0,Punjab
188,33,26,6,1,TRUE,no,41.1,39.9,Low,6064,4346,59.5,87.2,78.2,0,Uttar Pradesh
189,14,29,5,6,yes,Y,52.3,21.9,Low,449,401,89.1,65.9,57.0,N,Delhi (NCT)
190,28,6,9,5,Y,TRUE,31.1,29.4,Moderate,1013,742,65.5,46.6,94.6,No,Goa
191,18,30,12,6,True,True,63.1,,Low,1761,2096,84.1,83.7,59.5,False,Jammu and Kashmir
192,25,10,12,6,YES,yes,56.4,79.8, Moderate ,5744,4484,76.5,90.6,63.7,N,Jharkhand
193,22,24,1,3,TRUE,YES,65.6,86.3,Moderate,1134,1571,76.1,63.8,100.0,FALSE,Telangana
194,15,15,1,2,Y,N,82.4,32.9,Moderate,3235,2920,85.0,21.5,45.5,no,Manipur
195,2,21,5,5,1,N,75.7,77.2,Moderate,5514,4517,79.7,,74.8,NO,Rajasthan
196,10,5,5,1,1,Y,63.5,72.4,Low,2462,1984,80.4,75.5,85.1,N,Chhattisgarh
197,3,20,8,5,True,Yes,38.5,90.4,High,790,713,91.0,63.5,100.0,yes,Punjab
198,30,22,3,3,True,YES,86.2,56.7,Low,1202,1078,85.5,73.0,69.6,No,Sikkim
199,13,21,10,6,True,TRUE,69.9,38.6,Low,575,642,85.8,80.8,56.4,NO,rajasthan
200,15,31,11,1,1,TRUE,55.1,85.8,Low,2521,3416,78.5,48.1,65.6,FALSE,Ladakh
201,27,27,5,1,YES,No,56.2,17.4,High,1722,1753,95.5,50.1,65.7,YES,Uttarakhand
202,24,5,9,3,1,yes,61.9,24.0,Low,2622,2479,91.6,76.4,68.3,NO,Chhattisgarh
203,18,27,6,2,1,1,60.9,55.3,Low,2088,1633,68.7,89.6,85.4,False,Uttarakhand
204,35,24,11,5,1,yes,51.3,88.0,Low,1868,2055,91.3,70.7,75.9,no,Telangana
205,4,20,12,1,YES,0,40.4,11.7,Moderate,4008,3915,100.0,74.0,58.9,N,Punjab
206,22,24,9,4,yes,False,65.0,89.3,High,4529,3386,62.9,77.9,75.5,1,Telangana
207,12,14,9,3,1,True,82.4,63.4,High,2881,2507,87.0,58.6,63.0,1,Maharashtra
208,6,3,12,5,Yes,True,38.8,81.9,Low,2213,2352,90.3,81.1,58.8,no,Assam
209,25,13,5,2,yes,YES,56.7,73.9,Moderate,293,290,100.0,68.4,66.8,No,Madhya Pradesh
210,24,30,12,5,TRUE,No,96.3,41.3,High,1728,1469,81.6,,50.1,NO,Jammu and Kashmir
211,5,21,3,1,Yes,yes,55.7,,Low,1744,2014,86.3,80.3,71.9,FALSE,RAJASTHAN
212,26,6,4,6,yes,yes,66.2,24.6,low,5710,4749,83.3,50.4,72.5,NO,Goa
213,4,5,6,3,yes,Yes,84.0,70.1,Low,1359,1151,77.1,36.3,49.2,N,Chhattisgarh
214,29,6,11,6,Y,no,58.7,33.5,High,5203,4381,85.7,64.2,93.4,0,Goa
215,36,20,11,4,TRUE,False,52.8,71.4,Low,2314,1786,69.6,46.9,91.3,FALSE,Punjab
216,28,16,12,3,Yes,False,33.8,80.2,Low,5481,4658,82.2,51.8,60.2,0,Meghalaya
217,12,7,3,5,yes,yes,88.8,38.2,Moderate,6644,4991,68.1,69.8,27.0,NO,Gujarat
218,4,27,5,1,Yes,Y,67.7,89.3,High,2648,2261,85.5,50.8,65.6,No,Uttarakhand
219,25,25,12,6,TRUE,1,60.2,63.5,Low,1982,1789,94.0,75.4,43.1,FALSE,Tripura
220,9,11,11,1,Y,1,48.8,62.3,Moderate,2146,2639,,68.7,100.0,NO,Karnataka
221,27,9,3,4,yes,TRUE,27.7,87.2,Moderate,2071,2585,84.4,76.6,74.9,N,Himachal Pradesh
222,11,25,10,2,Yes,1,27.4,91.1,low,2403,2624,88.4,55.0,100.0,NO,Tripura
223,18,32,10,6,Yes,No,70.3,12.3,Moderate,2353,1805,68.0,74.6,77.2,no,Puducherry
224,15,9,11,6,yes,N,75.6,9.9,Moderate,4150,3182,67.2,44.8,51.6,NO,Himachal Pradesh
225,9,30,1,1,Yes,FALSE,81.1,79.0,Low,304,342,93.7,68.3,62.5,FALSE,Jammu and Kashmir
226,30,18,9,2,yes,True,84.7,62.7,Low,1145,1321,87.4,73.7,54.4,NO,Nagaland
227,36,30,2,3,yes,YES,61.9,16.8,Low,1121,1223,94.8,92.8,100.0,FALSE,Jammu and Kashmir
228,3,22,11,1,TRUE,NO,73.5,51.1,High,120,171,73.4,,63.8,FALSE,Sikkim
229,34,26,1,5,Yes,NO,81.1,94.0,Low,1868,1381,67.1,55.4,32.7,False,Uttar Pradesh
230,12,17,1,3,Y,yes,47.9,24.1,Low,2189,2418,92.0,76.5,49.6,N,Mizoram
231,26,22,1,1,TRUE,0,33.7,52.5,Low,4141,3916,93.9,79.8,55.3,FALSE,Sikkim
232,33,22,7,2,Yes,Yes,46.3,35.2,Moderate,3479,2858,74.9,56.8,54.1,N,Sikkim
233,22,23,7,5,Y,0,53.7,9.7,Low,3132,3700,84.1,82.3,67.9,0,Tamil Nadu
234,33,29,12,6,1,0,67.6,74.4,Low,3454,3945,87.7,85.5,67.3,False,Delhi (NCT)
235,16,5,4,2,YES,True,85.2,16.7,High,3365,3645,88.8,82.9,75.3,1,Chhattisgarh
236,2,6,2,1,yes,N,100.0,28.9,High,3618,3358,87.8,73.7,74.8,True,Goa
237,18,29,2,2,1,No,66.1,85.0,Moderate,3139,3942,80.9,54.7,90.0,NO,Delhi (NCT)
238,22,8,12,3,TRUE,NO,92.9,18.3,High,835,836,98.4,74.9,56.8,1,Haryana
239,11,19,5,1,yes,Y,54.0,53.3,Moderate,892,828,94.1,73.9,87.2,False,Odisha
240,4,24,4,2,1,yes,74.5,35.3,Low,857,1209,68.0,70.6,74.0,No,Telangana
241,27,31,4,3,TRUE,YES,48.8,69.5,Moderate,2070,1952,95.7,66.7,59.7,NO,Ladakh
242,26,32,1,5,True,0,23.3,12.8,Low,455,463,94.3,67.8,96.1,N,Puducherry
243,34,27,6,5,YES,yes,56.0,63.8,Moderate,1003,1072,93.6,53.8,74.1,False,Uttarakhand
244,35,12,3,5,Yes,True,86.5,32.9,low,3518,3225,93.6,82.1,74.8,False,Kerala
245,8,14,3,4,1,1,100.0,73.6,Low,2483,3306,78.1,100.0,50.0,no,Maharashtra
246,28,20,11,4,TRUE,N,64.2,73.8,Low,1404,1559,90.6,51.6,88.7,0,Punjab
247,2,26,5,4,yes,TRUE,100.0,3.5,Moderate,876,980,88.9,88.1,49.9,no,Uttar Pradesh
248,21,31,6,6,YES,Yes,63.9,60.6,Low,1493,1559,94.9,87.8,75.0,N,Ladakh
249,21,23,11,6,YES,0,71.4,10.0,Low,1833,2144,85.3,73.3,67.8,FALSE,Tamil Nadu
250,32,18,9,6,Yes,FALSE,47.0,5.8,High,2541,3137,83.2,88.1,55.2,TRUE,Nagaland
251,19,25,11,3,True,No,81.0,2.3,High,2103,2187,95.2,72.4,86.0,True,Tripura
252,8,32,7,5,Y,yes,72.8,3.6,Low,3948,4237,97.3,87.7,53.9,False,Puducherry
