fact_id,date_id,state_id,total_tests,positive_tests,positivity_rate,vaccination_coverage_pct,booster_coverage_pct,hospital_beds,doctors,phc_count,chc_count,icu_utilization_pct,bed_occupancy_pct,reporting_compliance_pct,turnaround_time_days,reporting_rate_pct
90,3,26,169898,7622.0,4.49,87.2,30.1,64305.0,15689,542,290,45.0,96.7,75.1,1.0,90.1
91,3,27,12195,681.0,5.59,51.2,32.7,3356.0,1777,77,15,47.6,44.5,73.1,4.0,91.9
92,3,28,94135,13764.0,14.62,,26.4,15452.0,6340,752,99,74.7,93.5,67.3,0.7,74.1
93,3,29,15220,1680.0,11.04,77.4,50.6,3979.0,2541,117,80,52.5,96.5,87.6,4.9,92.0
94,3,30,12986,2031.0,15.65,74.8,31.0,2967.0,391,57,36,70.2,86.6,96.5,1.0,73.2
95,3,31,197,25.0,12.92,63.3,33.3,77.0,17,1,0,76.9,51.8,84.8,2.7,97.8
96,3,32,718,47.0,6.63,69.3,35.4,180.0,75,11,3,44.0,52.1,63.6,0.9,65.9
97,4,1,29384,4097.0,13.95,90.9,53.8,9566.0,3333,422,86,46.5,36.7,74.6,0.8,67.5
98,4,2,1840,244.0,13.28,65.6,24.6,,142,12,2,83.0,43.6,83.0,1.5,56.8
99,4,3,31884,2757.0,8.65,88.1,41.1,2865.0,1468,249,72,53.7,51.4,85.3,1.5,88.6
100,4,4,53609,8798.0,16.41,45.2,22.0,29623.0,8533,508,233,63.6,88.5,61.7,3.9,72.2
101,4,5,28091,4582.0,16.31,,39.1,2440.0,643,163,47,83.1,88.7,67.0,0.9,91.1
102,4,6,1690,126.0,7.49,58.0,18.0,314.0,102,8,2,36.3,68.1,74.5,3.7,99.4
103,4,7,62081,6240.0,10.05,61.5,22.2,8383.0,2015,411,191,46.5,54.7,92.3,4.4,78.1
104,4,8,22700,917.0,4.04,89.2,36.3,5912.0,2095,195,49,44.6,50.4,67.9,2.8,77.3
105,4,9,7380,592.0,8.03,76.9,33.2,1211.0,442,46,15,72.5,90.1,62.0,0.6,86.1
106,4,10,22218,3288.0,14.8,82.1,40.7,6617.0,1364,165,39,54.6,51.9,98.9,3.3,85.5
107,4,11,31206,3692.0,11.83,78.2,34.6,15398.0,1535,471,88,54.6,75.8,73.7,2.7,98.8
108,4,12,24249,2135.0,8.81,52.5,35.7,8319.0,1819,190,82,55.0,92.0,63.9,4.1,67.7
109,4,13,34766,5077.0,14.6,49.8,22.9,23923.0,6300,417,119,46.4,37.8,75.5,2.7,65.1
110,4,14,79625,9305.0,11.69,69.3,47.5,12452.0,7041,595,304,92.5,55.8,92.4,4.4,79.9
111,4,15,3161,113.0,3.58,92.2,63.1,814.0,87,6,4,48.9,70.6,60.1,2.9,95.9
112,4,16,2764,74.0,2.7,71.4,40.5,503.0,286,26,7,67.5,58.9,79.6,2.2,81.3
113,4,17,690,26.0,3.88,97.8,39.7,251.0,82,6,2,47.5,90.1,76.0,3.0,62.8
114,4,18,1594,203.0,12.77,77.3,36.9,241.0,74,16,5,59.1,90.9,67.6,0.9,99.9
115,4,19,38217,6566.0,17.18,74.2,36.6,11107.0,2481,221,86,44.8,61.3,88.7,2.6,84.3
116,4,20,35517,4513.0,12.71,71.9,47.8,7753.0,1458,187,53,71.8,74.3,80.9,2.4,68.6
117,4,21,51698,8594.0,16.63,,32.7,,6297,636,103,81.0,86.0,92.0,4.1,72.3
118,4,22,403,42.0,10.58,91.7,46.4,200.0,20,2,1,96.0,74.0,81.9,2.7,59.2
119,4,23,77369,2512.0,3.25,60.9,19.2,22800.0,4405,492,113,63.1,94.9,92.9,1.2,63.2
120,4,24,39590,960.0,2.43,65.2,39.7,3781.0,1785,301,31,45.8,43.0,65.5,1.3,97.1
121,4,25,3933,608.0,15.47,46.0,16.5,1096.0,140,10,5,54.2,72.3,77.3,1.7,76.6
122,4,26,179039,13400.0,7.48,84.2,37.0,,8950,1109,308,58.4,58.3,82.6,4.5,90.3
123,4,27,18706,2369.0,12.67,66.4,46.3,3040.0,521,138,47,35.0,68.7,61.0,4.2,61.5
124,4,28,57999,7571.0,13.05,83.8,35.9,21611.0,2199,793,115,85.4,52.0,66.9,1.2,99.3
125,4,29,17522,1820.0,10.39,74.2,39.2,6741.0,2444,78,61,60.6,43.8,97.7,1.3,82.9
126,4,30,9663,1352.0,14.0,93.8,32.6,3586.0,600,38,26,90.3,69.7,86.4,2.0,55.1
127,4,31,134,15.0,11.75,88.7,60.4,60.0,7,0,0,68.5,50.7,77.6,4.5,90.6
128,4,32,1737,239.0,13.8,46.6,21.2,263.0,74,4,2,37.1,83.2,69.5,1.2,74.4
129,5,1,24974,2954.0,11.83,81.0,32.9,4711.0,1996,329,52,33.0,83.8,75.9,3.5,94.8
130,5,2,1148,96.0,8.41,94.0,51.3,163.0,106,4,2,44.5,85.8,87.0,3.7,59.7
131,5,3,33445,2336.0,6.98,88.4,35.6,10571.0,1602,121,46,92.1,95.8,89.6,4.4,55.0
132,5,4,126006,8521.0,6.76,55.0,23.4,,-5345,917,156,81.4,96.8,95.1,3.2,96.5
133,5,5,30343,1012.0,3.34,94.5,28.5,2578.0,2109,174,84,50.7,79.4,65.1,1.6,66.2
134,5,6,1837,265.0,14.44,91.5,42.1,387.0,143,6,1,95.4,68.4,87.8,1.7,91.2
135,5,7,79357,,11.86,88.6,53.7,20366.0,1691,193,122,80.9,52.4,90.1,0.8,67.7
136,5,8,29540,3108.0,10.52,70.2,35.4,4859.0,787,101,49,81.4,46.1,63.0,4.2,76.1
137,5,9,5894,1051.0,17.84,49.9,24.5,1122.0,579,21,21,93.8,57.4,63.5,4.2,63.2
138,5,10,41302,7057.0,17.09,71.7,24.6,7933.0,1895,202,69,78.9,49.4,,1.7,97.8
139,5,11,55203,6423.0,11.64,61.1,30.6,19399.0,2169,341,140,60.0,42.9,77.9,3.9,80.1
140,5,12,41451,7451.0,17.98,68.2,41.5,9456.0,2943,92,62,38.8,65.6,94.7,2.5,87.6
141,5,13,37407,,2.31,56.7,24.6,21382.0,4295,511,67,60.8,38.0,73.1,0.5,56.8
142,5,14,73215,10160.0,13.88,68.2,44.4,12274.0,8768,548,194,63.1,62.0,92.7,1.9,68.0
143,5,15,3103,344.0,11.11,80.1,27.8,511.0,255,17,4,88.6,73.4,98.5,2.8,60.8
144,5,16,2518,300.0,11.95,98.2,41.0,522.0,246,19,6,51.4,47.0,63.0,2.4,64.1
145,5,17,1226,66.0,5.45,56.4,31.4,263.0,28,8,1,39.9,56.4,66.4,3.4,66.2
146,5,18,880,120.0,13.74,,56.1,194.0,88,17,5,88.1,54.2,61.1,0.6,93.9
147,5,19,40237,6113.0,15.19,87.8,45.6,,3873,336,26,75.6,96.0,,4.1,60.8
148,5,20,32859,2057.0,6.26,66.3,36.4,4021.0,1820,234,54,56.9,92.2,88.1,3.7,66.3
149,5,21,61148,,4.95,69.7,22.1,13182.0,4511,190,91,63.6,40.5,86.0,1.0,87.1
150,5,22,287,16.0,5.7,62.3,20.7,78.0,30,3,1,91.5,69.4,86.2,3.9,83.4
151,5,23,82760,11108.0,13.42,93.2,56.2,6323.0,2544,547,205,62.9,49.7,67.1,4.7,84.2
152,5,24,40996,5443.0,13.28,50.3,18.0,10641.0,2488,99,78,40.1,95.1,86.3,2.0,69.1
153,5,25,4573,,12.98,77.4,36.1,834.0,350,30,4,60.1,64.7,88.3,0.6,67.5
154,5,26,153874,4760.0,3.09,77.7,34.4,68530.0,12517,1070,515,90.2,68.5,77.5,4.2,74.4
155,5,27,15222,1193.0,7.84,86.6,28.3,1849.0,808,43,18,56.6,41.9,92.4,5.0,62.7
156,5,28,92708,13267.0,14.31,73.7,45.8,19251.0,6060,270,207,39.2,59.8,60.6,2.5,78.0
157,5,29,29507,4654.0,15.77,77.5,40.7,5969.0,1718,237,26,53.4,66.7,84.6,2.6,87.1
158,5,30,16189,2528.0,15.62,92.2,29.7,2097.0,1002,77,12,30.8,58.0,82.2,1.1,86.0
159,5,31,234,38.0,16.44,47.9,28.2,66.0,11,0,0,55.1,36.7,96.4,2.1,70.5
160,5,32,961,142.0,14.86,76.6,51.2,428.0,122,6,3,93.3,58.0,66.0,2.7,98.2
161,6,1,62452,7573.0,12.13,70.9,30.5,6942.0,4001,247,49,76.7,93.4,73.9,3.6,65.5
162,6,2,707,71.0,10.1,83.0,25.7,466.0,113,8,4,57.5,60.7,66.3,3.3,80.7
163,6,3,23961,1618.0,6.75,86.0,33.5,4580.0,1313,219,53,84.8,85.5,95.4,0.9,77.9
164,6,4,100389,4046.0,4.03,56.8,27.0,28786.0,9552,445,175,83.0,90.7,92.4,4.6,85.6
165,6,5,25611,3075.0,12.01,93.8,42.9,3059.0,1572,235,69,73.0,68.3,66.8,1.5,65.9
166,6,6,1322,134.0,10.2,61.1,31.9,302.0,135,10,1,97.2,67.9,97.9,4.7,98.5
167,6,7,58231,8452.0,14.52,92.7,59.5,16800.0,5847,388,119,53.7,56.5,66.0,4.0,85.9
168,6,8,13091,1637.0,12.51,81.1,28.8,7351.0,2057,115,42,71.6,66.6,73.2,3.6,91.7
169,6,9,3892,613.0,15.76,87.6,33.1,,275,54,5,84.9,83.7,85.7,1.0,85.7
170,6,10,22023,2411.0,10.95,94.0,32.0,9506.0,3436,210,100,52.9,47.7,79.4,4.1,84.3
171,6,11,60797,3253.0,5.35,85.8,41.1,12672.0,4325,307,70,82.4,61.5,86.9,4.8,87.1
172,6,12,27555,3165.0,11.49,62.1,34.1,6045.0,2284,199,61,95.8,86.9,73.6,1.5,96.7
173,6,13,44171,2807.0,6.36,,48.4,,5170,468,69,32.0,48.4,87.2,4.8,93.8
174,6,14,65614,6759.0,10.3,86.6,42.0,15217.0,7308,958,170,72.8,74.5,74.7,3.3,92.3
175,6,15,1973,191.0,9.71,50.7,29.5,439.0,183,14,7,49.1,93.2,88.1,3.5,74.6
176,6,16,1645,78.0,4.79,60.0,19.5,753.0,77,15,8,38.9,90.4,75.9,3.4,82.3
177,6,17,849,76.0,8.96,53.7,37.1,162.0,57,3,0,31.6,60.6,61.3,2.7,85.1
178,6,18,1346,42.0,3.16,75.6,45.3,447.0,50,15,3,34.9,85.2,95.6,3.5,98.9
179,6,19,35129,5908.0,16.82,56.0,31.4,7235.0,947,213,76,30.1,86.8,86.3,0.5,58.1
180,6,20,12470,513.0,4.12,54.9,22.5,4384.0,1605,147,85,40.4,83.0,84.5,3.2,97.3
181,6,21,96143,15028.0,15.63,76.8,32.0,21920.0,2537,324,222,31.1,42.6,69.0,4.9,84.1
182,6,22,651,99.0,15.24,94.7,45.5,102.0,14,2,0,85.0,40.9,97.1,2.6,69.0
183,6,23,44254,7302.0,16.5,62.7,21.4,7609.0,5098,488,48,78.6,69.4,84.9,2.0,84.8
184,6,24,21877,1208.0,5.52,72.5,42.8,4551.0,2710,214,37,87.0,49.3,79.3,2.9,68.8
185,6,25,4542,118.0,2.61,54.3,36.6,1019.0,218,24,8,32.4,65.7,74.1,2.2,81.9
186,6,26,127528,8449.0,6.63,,17.9,53890.0,10054,699,332,70.5,54.9,76.6,4.3,96.4
187,6,27,20491,2327.0,11.36,63.8,43.1,5502.0,1358,96,17,48.8,42.8,60.4,1.3,66.9
188,6,28,46654,2105.0,4.51,83.1,46.5,21314.0,5839,343,94,39.8,71.6,64.9,3.1,84.7
189,6,29,26059,1012.0,3.89,45.9,29.3,7946.0,2483,116,67,55.6,64.8,80.0,2.4,65.8
190,6,30,8531,346.0,4.06,74.5,51.6,2330.0,971,47,38,54.5,56.1,71.4,1.7,62.1
191,6,31,348,29.0,8.49,87.8,53.7,43.0,9,0,0,72.2,73.0,66.0,1.1,89.3
192,6,32,1246,148.0,11.95,68.7,42.8,335.0,101,9,3,39.1,96.7,69.2,3.9,78.4
193,7,1,46809,5677.0,12.13,57.8,39.2,15104.0,4772,278,159,68.3,39.3,90.7,3.9,79.2
194,7,2,1062,136.0,12.83,82.2,30.8,425.0,85,6,1,65.0,94.4,69.7,2.0,70.5
195,7,3,38307,6337.0,16.54,70.1,37.8,4793.0,2843,217,84,56.8,95.4,78.9,3.7,62.3
196,7,4,127931,3445.0,2.69,91.0,36.6,10928.0,9922,931,310,88.4,82.0,77.4,4.9,92.6
197,7,5,17870,415.0,2.33,66.0,38.9,6615.0,942,88,88,36.3,35.9,81.7,1.5,95.6
198,7,6,1654,215.0,13.04,46.3,20.0,398.0,67,8,1,72.5,73.7,81.3,2.8,57.8
199,7,7,45129,5230.0,11.59,45.2,27.7,7572.0,1833,329,201,34.2,67.0,93.0,1.3,66.4
200,7,8,26874,2856.0,10.63,80.9,37.9,5604.0,2382,212,26,87.0,37.9,90.2,2.6,89.9
201,7,9,7071,1011.0,14.31,83.6,56.9,1318.0,475,52,16,82.4,94.5,97.9,3.6,92.3
202,7,10,43398,,3.33,75.1,34.5,4078.0,1722,203,31,34.1,69.5,65.2,2.0,68.7
203,7,11,28709,659.0,2.3,51.0,22.2,19485.0,3510,519,67,41.5,56.8,67.3,4.5,98.9
204,7,12,27107,2062.0,7.61,45.6,18.6,4630.0,1535,138,99,58.4,88.5,91.0,3.9,76.9
205,7,13,34267,1324.0,3.87,65.3,45.7,7268.0,4972,353,186,95.8,76.0,65.6,1.4,88.3
206,7,14,94548,11271.0,11.92,54.8,20.3,36035.0,4584,487,162,48.5,93.1,61.9,1.7,57.6
207,7,15,2736,94.0,3.47,60.8,41.4,342.0,181,9,2,37.4,91.4,70.8,3.7,70.9
208,7,16,1788,96.0,5.42,83.5,35.2,483.0,264,10,4,89.6,61.3,66.4,4.4,66.7
209,7,17,717,108.0,15.13,,43.6,213.0,76,4,1,55.4,71.4,79.1,0.7,61.2
210,7,18,1205,166.0,13.81,68.4,24.9,409.0,156,12,1,54.8,95.3,95.7,0.9,74.0
211,7,19,41909,1901.0,4.54,54.8,23.8,9714.0,2862,193,132,41.4,88.5,87.1,3.8,80.7
212,7,20,33915,2528.0,7.46,84.3,51.0,2413.0,885,68,60,42.6,64.9,82.1,3.1,92.6
213,7,21,79261,6952.0,8.77,89.8,58.5,14432.0,3534,360,52,88.1,60.4,,0.6,74.6
214,7,22,699,26.0,3.81,47.1,14.7,155.0,26,4,1,42.5,72.9,75.6,2.7,71.5
215,7,23,81736,1919.0,2.35,49.5,15.5,13543.0,5842,509,151,49.2,83.2,86.3,0.6,94.9
216,7,24,18292,1043.0,5.7,58.6,27.8,10560.0,1088,150,87,55.5,91.7,89.9,3.7,78.6
217,7,25,4003,240.0,6.0,76.5,32.1,806.0,174,30,9,51.8,82.3,90.7,1.4,73.3
218,7,26,273771,25337.0,9.25,,45.5,22517.0,6413,1663,468,42.5,83.8,88.6,1.6,83.4
219,7,27,23563,3117.0,13.23,47.8,29.8,4311.0,1062,90,56,59.4,38.0,79.6,1.9,57.1
220,7,28,70243,2220.0,3.16,72.8,29.7,23079.0,3527,688,297,41.3,80.0,92.3,3.0,77.8
221,7,29,16944,2460.0,14.52,58.4,23.5,3512.0,1158,194,91,87.4,90.6,76.4,1.3,68.2
222,7,30,12720,1390.0,10.93,75.2,46.4,3452.0,844,74,28,72.7,54.6,88.8,4.6,64.0
223,7,31,152,9.0,6.52,,41.4,89.0,13,1,0,31.5,63.5,82.7,0.5,96.9
224,7,32,1427,138.0,9.71,96.7,58.6,382.0,107,9,3,137.0,106.5,79.2,3.7,87.8
225,8,1,35908,6166.0,17.17,,44.7,5090.0,4580,279,124,86.8,82.4,68.2,4.0,85.3
226,8,2,1705,176.0,10.34,97.9,64.3,172.0,60,7,1,75.5,51.4,76.2,2.2,93.6
227,8,3,32153,4315.0,13.42,95.5,53.4,2981.0,2997,262,100,53.3,37.3,80.8,3.9,94.3
228,8,4,54280,5642.0,10.39,53.0,36.6,21636.0,4710,840,354,97.7,67.4,69.0,1.5,95.7
229,8,5,18413,2142.0,11.63,66.0,22.6,2785.0,2558,81,69,95.2,92.6,72.0,2.4,86.1
230,8,6,1533,80.0,5.26,50.3,17.5,217.0,111,4,3,37.8,50.2,81.5,1.4,99.0
231,8,7,33847,3303.0,9.76,75.9,52.8,18451.0,3380,262,141,32.3,50.5,69.5,3.3,89.2
232,8,8,28780,1985.0,6.9,55.1,35.1,4081.0,2272,149,21,45.0,37.0,68.3,1.6,61.1
233,8,9,6306,220.0,3.49,91.6,51.6,764.0,200,47,3,64.1,94.3,88.6,1.7,86.3
234,8,10,45207,1339.0,2.96,69.3,37.2,6789.0,970,114,92,39.5,70.7,97.9,4.4,86.2
235,8,11,31437,2078.0,6.61,80.5,31.7,14690.0,3334,337,54,93.3,93.4,87.4,2.5,84.9
236,8,12,32961,3583.0,10.87,65.6,41.1,9530.0,1219,161,20,69.4,62.4,87.9,0.5,64.4
237,8,13,86600,7100.0,8.2,73.9,34.4,7849.0,2015,665,58,80.7,44.3,70.2,1.7,78.0
238,8,14,129062,15588.0,12.08,67.1,26.8,21613.0,11048,460,108,69.4,41.7,78.2,0.6,56.8
239,8,15,1266,67.0,5.3,73.3,25.4,823.0,176,11,1,61.6,36.0,86.0,4.3,59.7
240,8,16,1704,196.0,11.54,71.0,31.2,346.0,212,9,5,68.3,86.1,95.9,3.7,96.9
241,8,17,1302,79.0,6.09,81.1,54.5,352.0,53,3,2,89.5,72.2,82.9,0.7,78.3
242,8,18,2016,154.0,7.67,70.8,24.5,504.0,183,10,3,42.1,51.8,96.6,4.8,90.1
243,8,19,30050,2166.0,7.21,70.1,39.6,10202.0,2647,108,46,95.9,91.6,94.0,1.9,79.7
244,8,20,26179,2715.0,10.37,50.0,30.2,6665.0,2298,95,40,84.7,36.9,72.6,3.6,59.2
