fact_id,date_id,state_id,disease_id,source_id,population_under_surveillance,total_reported_cases,active_cases,recovered_cases,deaths,urban_cases,rural_cases,hospitalized_cases,icu_admissions,case_fatality_rate,recovery_rate,public_health_risk_score,report_date_raw
66,1,6,6,3,1426725,21,1,20,0,12,9,2,0,0,95.24,1.6,2022-01-01 00:00:00
67,1,6,7,4,1591170,35,3,31,1,24,11,5,1,2.86,88.57,21.7,2022-01-01 00:00:00
68,1,6,8,6,1596298,27,3,24,0,16,11,3,0,1.37,88.89,13.1,2022-01-01 00:00:00
69,1,6,9,3,1596529,32,6,466,0,21,11,2,0,0,81.25,9.9,2022-01-01 00:00:00
70,1,6,10,2,1557419,16,2,14,0,10,6,1,0,0,87.5,9.2,2022-01-01 00:00:00
71,1,6,11,1,1537463,8,2,6,0,5,3,1,0,0,75,6.2,2022-01-01 00:00:00
72,1,6,12,3,1367105,57,7,50,0,31,26,12,0,0,87.72,19.6,2022-01-01 00:00:00
73,1,7,1,5,66073781,2106,367,1689,50,1455,651,464,63,2.37,80.2,20.1,2022-01-01 00:00:00
74,1,7,2,2,70386729,2165,49,1713,7,1379,786,144,19,3.09,79.12,27.7,2022-01-01 00:00:00
75,1,7,3,2,69505554,1803,212,1580,11,1060,743,449,101,0.61,87.63,13.6,2022-01-01 00:00:00
76,1,7,4,5,63465168,965,214,738,13,512,453,87,4,1.35,76.48,12.2,2022-01-01 00:00:00
77,1,7,5,5,69439724,522,56,453,13,231,291,55,15,2.49,86.78,9.4,2022-01-01 00:00:00
78,1,7,6,1,69072759,378,33,337,8,181,197,41,4,2.12,89.15,5.6,2022-01-01 00:00:00
79,1,7,7,3,68442581,929,47,856,7,694,235,127,21,1.37,92.14,16.7,2022-01-01 00:00:00
80,1,7,8,3,64412189,1619,192,1414,13,1185,434,70,24,0.8,87.34,14,2022-01-01 00:00:00
81,1,7,9,2,63140738,225,54,170,7,119,106,22,1,0.44,75.56,3.1,2022-01-01 00:00:00
82,1,7,10,1,64239397,402,91,306,5,189,213,76,7,1.24,76.12,5.5,2022-01-01 00:00:00
83,1,7,11,4,68082936,666,147,499,20,321,345,100,17,3,74.92,13,2022-01-01 00:00:00
84,1,7,12,5,69664861,2399,442,1927,30,1058,1341,350,77,1.25,80.33,19.1,2022-01-01 00:00:00
85,1,8,1,2,25381375,318,61,249,8,228,90,18,1,1.37,78.3,8.2,2022-01-01 00:00:00
86,1,8,2,5,28264356,247,44,198,5,170,77,40,7,2.02,80.16,5.4,2022-01-01 00:00:00
87,1,8,3,5,28833455,1452,51,1362,39,772,680,146,10,2.69,93.8,34.2,2022-01-01 00:00:00
88,1,8,4,4,24903599,261,17,241,3,134,127,44,4,1.15,92.34,6.1,2022-01-01 00:00:00
89,1,8,5,5,28423234,86,19,67,0,55,31,16,3,0,77.91,0,2022-01-01 00:00:00
90,1,8,6,6,24636873,469,43,423,3,350,119,39,6,0.64,90.19,5.1,2022-01-01 00:00:00
91,1,8,7,3,24784002,984,46,932,6,589,395,222,10,0.61,94.72,16.6,2022-01-01 00:00:00
92,1,8,8,6,25664635,616,27,575,14,272,344,33,6,2.27,93.34,21.2,2022-01-01 00:00:00
93,1,8,9,4,26382545,464,41,417,6,303,161,90,17,1.29,89.87,16.7,2022-01-01 00:00:00
94,1,8,10,4,27523991,537,58,464,15,379,158,70,5,2.79,86.41,16.6,2022-01-01 00:00:00
95,1,8,11,2,27744700,264,53,209,2,114,150,58,16,0.76,79.17,6.5,2022-01-01 00:00:00
96,1,8,12,1,28483724,1051,72,959,20,607,444,206,50,1.9,91.25,19.9,2022-01-01 00:00:00
97,1,9,1,2,6992647,323,66,256,1,239,84,64,3,0.31,79.26,21.8,2022-01-01 00:00:00
98,1,9,2,1,6717066,439,46,466,5,259,180,72,10,1.14,88.38,37.8,2022-01-01 00:00:00
99,1,9,3,6,6471738,168,36,130,2,81,87,13,2,1.19,77.38,19.6,2022-01-01 00:00:00
100,1,9,4,1,6489086,48,9,466,1,26,22,4,0,2.08,79.17,9.2,2022-01-01 00:00:00
101,1,9,5,3,7042459,30,3,26,1,13,17,4,0,3.33,86.67,10,2022-01-01 00:00:00
102,1,9,6,2,6810423,166,1,160,5,67,99,39,2,3.01,96.39,18.4,2022-01-01 00:00:00
103,1,9,7,4,6844729,32,5,27,0,13,19,2,0,0,84.38,5.7,2022-01-01 00:00:00
104,1,9,8,2,6337117,180,27,151,2,77,103,36,10,1.11,83.89,20.1,2022-01-01 00:00:00
105,1,9,9,5,6982718,145,9,135,1,76,69,12,1,0.69,93.1,9.5,2022-01-01 00:00:00
106,1,9,10,2,7056207,279,50,224,5,202,77,27,2,1.79,80.29,28.4,2022-01-01 00:00:00
107,1,9,11,4,6732823,263,30,228,5,105,158,36,2,1.9,86.69,28.2,2022-01-01 00:00:00
108,1,9,12,1,6557078,302,56,240,6,120,182,30,1,1.99,79.47,30.8,2022-01-01 00:00:00
109,1,10,1,3,35524116,2204,261,1910,33,1492,712,192,57,1.5,86.66,35.5,2022-01-01 00:00:00
110,1,10,2,4,37405148,891,202,678,11,533,358,105,26,1.23,76.09,17.7,2022-01-01 00:00:00
111,1,10,3,1,35463337,942,89,838,15,435,507,47,14,1.59,88.96,12.6,2022-01-01 00:00:00
112,1,10,4,6,36631118,261,38,218,5,167,94,61,7,1.37,83.52,8.8,2022-01-01 00:00:00
113,1,10,5,4,35413373,699,100,576,23,481,218,59,12,3.29,82.4,14.3,2022-01-01 00:00:00
114,1,10,6,1,36062931,782,126,638,18,504,278,187,26,2.3,81.59,16.1,2022-01-01 00:00:00
115,1,10,7,2,33538422,863,110,726,27,442,421,154,20,3.13,84.13,20,2022-01-01 00:00:00
116,1,10,8,2,37793050,344,28,308,8,147,197,18,2,2.33,89.53,14.2,2022-01-01 00:00:00
117,1,10,9,3,33982604,365,68,295,2,226,139,28,3,0.55,80.82,10.5,2022-01-01 00:00:00
118,1,10,10,1,35124124,370,31,327,12,176,194,37,7,3.24,88.38,19.3,2022-01-01 00:00:00
119,1,10,11,5,34675628,1295,56,1220,19,938,357,222,35,1.47,94.21,24.7,2022-01-01 00:00:00
120,1,10,12,6,38473803,1152,178,948,26,828,324,113,31,2.26,82.29,25.1,2022-01-01 00:00:00
121,1,11,1,1,60074177,3268,384,2796,88,1986,1282,461,50,2.69,85.56,30.1,2022-01-01 00:00:00
122,1,11,2,2,65546759,2782,172,2585,25,982,1800,617,56,0.9,92.92,21.6,2022-01-01 00:00:00
123,1,11,3,4,61747195,3696,729,2866,101,1578,2118,473,141,2.73,77.54,32.1,2022-01-01 00:00:00
124,1,11,4,4,64187416,963,193,737,33,441,522,74,18,3.43,76.53,21.3,2022-01-01 00:00:00
125,1,11,5,2,67519305,288,44,242,7,179,109,46,8,0.69,84.03,5.7,2022-01-01 00:00:00
126,1,11,6,4,57981390,1594,136,1450,8,851,743,391,50,0.5,90.97,12.5,2022-01-01 00:00:00
127,1,11,7,4,65586088,1013,40,945,7,484,529,217,33,2.76,93.29,18.3,2022-01-01 00:00:00
128,1,11,8,6,57995464,1054,53,994,7,593,461,72,6,0.66,94.31,5.5,2022-01-01 00:00:00
129,1,11,9,5,66188521,352,77,266,9,146,206,63,16,2.56,75.57,6.8,2022-01-01 00:00:00
130,1,11,10,4,62572371,1734,349,1335,50,785,949,223,52,2.88,76.99,24,2022-01-01 00:00:00
131,1,11,11,3,59247594,3093,582,2468,43,1229,1864,283,67,1.39,79.79,22.9,2022-01-01 00:00:00
132,1,11,12,1,66333353,1157,21,1119,17,612,545,89,10,1.47,96.72,11.9,2022-01-01 00:00:00
133,1,12,1,5,33295116,867,168,692,7,558,309,157,19,1.37,79.82,15.2,2022-01-01 00:00:00
134,1,12,2,3,34403609,2859,676,2175,8,1298,1561,486,83,0.28,76.08,40.1,2022-01-01 00:00:00
135,1,12,3,5,30698854,1593,281,1289,23,916,677,245,31,1.44,80.92,28.4,2022-01-01 00:00:00
136,1,12,4,5,35354827,112,10,99,3,60,52,9,2,1.37,88.39,9.4,2022-01-01 00:00:00
137,1,12,5,5,32608740,314,59,249,6,122,192,58,6,1.91,79.3,7.2,2022-01-01 00:00:00
138,1,12,6,2,33614147,284,43,233,8,139,145,34,2,2.82,82.04,10.1,2022-01-01 00:00:00
139,1,12,7,1,34909507,347,69,267,11,207,140,24,1,3.17,76.95,10.6,2022-01-01 00:00:00
140,1,12,8,2,33434090,1062,13,1029,20,509,553,62,9,1.88,96.89,25,2022-01-01 00:00:00
141,1,12,9,5,33476350,832,89,715,28,417,415,70,36,3.37,85.94,20.7,2022-01-01 00:00:00
142,1,12,10,5,32655784,394,87,304,3,194,200,87,17,0.76,77.16,6.9,2022-01-01 00:00:00
143,1,12,11,1,33872624,904,120,755,29,521,383,104,16,3.21,83.52,21.9,2022-01-01 00:00:00
144,1,12,12,5,31493856,774,120,644,10,494,280,53,4,1.29,83.2,13.6,2022-01-01 00:00:00
145,1,13,1,3,84702109,3509,203,3270,36,2167,1342,826,164,1.03,93.19,19.2,2022-01-01 00:00:00
146,1,13,2,2,82113722,3071,701,2306,64,1766,1305,177,38,2.08,75.09,19.5,2022-01-01 00:00:00
147,1,13,3,3,79828648,2392,555,1796,41,1678,714,495,65,1.71,75.08,17.9,2022-01-01 00:00:00
148,1,13,4,4,74993275,759,87,652,20,558,201,70,34,2.64,85.9,15.9,2022-01-01 00:00:00
149,1,13,5,6,80368378,1402,300,1082,20,807,595,297,50,1.43,77.18,17.3,2022-01-01 00:00:00
150,1,13,6,3,83790221,338,71,262,5,156,182,70,18,1.48,77.51,4.5,2022-01-01 00:00:00
151,1,13,7,1,73103617,573,48,516,9,286,287,47,10,1.57,90.05,9.3,2022-01-01 00:00:00
152,1,13,8,5,77777973,1461,308,1140,13,567,894,128,17,0.89,78.03,15.7,2022-01-01 00:00:00
153,1,13,9,1,73049864,3391,347,3029,7,1768,1623,760,158,0.44,89.32,20.5,2022-01-01 00:00:00
154,1,13,10,2,84578547,1272,265,965,42,904,368,243,30,3.3,75.86,12.8,2022-01-01 00:00:00
155,1,13,11,2,78290655,3233,603,2535,95,1865,1368,507,141,2.94,78.41,26.7,2022-01-01 00:00:00
156,1,13,12,1,81657480,484,96,383,5,187,297,51,14,1.03,79.13,9.6,2022-01-01 00:00:00
157,1,14,1,3,121233586,8218,105,7869,244,4670,3548,619,154,2.97,95.75,42.7,2022-01-01 00:00:00
158,1,14,2,4,106064857,10061,1326,8555,180,5096,4965,1280,179,1.79,85.03,42.1,2022-01-01 00:00:00
159,1,14,3,6,108673373,5004,415,4426,163,2163,2841,285,25,3.26,88.45,34.9,2022-01-01 00:00:00
160,1,14,4,6,115133639,2070,340,1660,70,776,1294,70,10,3.38,80.19,15.5,2022-01-01 00:00:00
161,1,14,5,6,111058987,3195,585,2538,72,2222,973,671,137,2.25,79.44,24.2,2022-01-01 00:00:00
162,1,14,6,3,110557355,1253,33,1200,20,709,544,157,38,1.6,95.77,6.7,2022-01-01 00:00:00
163,1,14,7,1,106616522,1923,354,1538,31,1393,530,373,34,1.61,79.98,9.5,2022-01-01 00:00:00
164,1,14,8,2,105868937,2183,297,1846,40,1181,1002,543,93,1.83,84.56,13.6,2022-01-01 00:00:00
165,1,14,9,1,105749008,3611,780,2748,83,2559,1052,889,148,2.3,76.1,21.3,2022-01-01 00:00:00
166,1,14,10,2,116868608,3290,422,2777,91,1981,1309,584,154,2.77,84.41,20.1,2022-01-01 00:00:00
167,1,14,11,5,108614117,2973,424,2507,42,1916,1057,631,111,1.41,84.33,15.9,2022-01-01 00:00:00
168,1,14,12,3,122288401,4027,418,3575,34,1848,2179,803,219,0.84,88.78,15,2022-01-01 00:00:00
169,1,15,1,6,2801322,91,12,78,1,57,34,20,4,1.37,85.71,14.7,2022-01-01 00:00:00
170,1,15,2,5,2858722,125,22,102,1,79,46,9,1,0.8,81.6,18.3,2022-01-01 00:00:00
171,1,15,3,1,2852380,116,15,98,3,57,59,24,2,2.59,84.48,23.2,2022-01-01 00:00:00
172,1,15,4,4,2806711,18,4,14,0,9,9,1,0,0,77.78,0.9,2022-01-01 00:00:00
173,1,15,5,1,3048747,30,5,25,0,22,8,5,1,0,83.33,6,2022-01-01 00:00:00
174,1,15,6,2,2899197,61,49,46,7,33,28,3,0,1.64,75.41,13.8,2022-01-01 00:00:00
175,1,15,7,3,3048803,39,8,31,0,29,10,8,2,0,79.49,10,2022-01-01 00:00:00
176,1,15,8,4,2713956,41,5,36,0,23,18,9,1,0,87.8,4.6,2022-01-01 00:00:00
177,1,15,9,4,3012574,28,5,23,0,11,17,6,1,0,82.14,1.3,2022-01-01 00:00:00
178,1,15,10,1,2758037,36,4,32,0,16,20,7,0,0,88.89,10.5,2022-01-01 00:00:00
179,1,15,11,6,2637002,40,4,36,0,27,13,8,10,0,90,3.6,2022-01-01 00:00:00
180,1,15,12,5,2982390,36,8,28,0,13,23,5,1,0,77.78,4.8,2022-01-01 00:00:00
181,1,16,1,3,3391323,133,21,111,1,80,53,19,5,0.75,83.46,23.7,2022-01-01 00:00:00
182,1,16,2,2,2992286,124,21,99,4,48,76,24,5,3.23,79.84,27.6,2022-01-01 00:00:00
183,1,16,3,1,3019911,101,7,93,1,46,55,23,5,0.99,92.08,15.6,2022-01-01 00:00:00
184,1,16,4,1,3216017,20,5,15,0,7,13,4,0,0,75,0,2022-01-01 00:00:00
185,1,16,5,2,3045958,87,4,81,2,32,55,19,2,2.3,93.1,23.4,2022-01-01 00:00:00
186,1,16,6,6,3159003,58,5,53,0,30,28,70,3,0,91.38,12.3,2022-01-01 00:00:00
187,1,16,7,5,3187148,85,14,69,2,46,39,6,0,2.35,81.18,19.6,2022-01-01 00:00:00
188,1,16,8,4,3295568,40,7,32,1,22,18,7,1,2.5,80,10.3,2022-01-01 00:00:00
189,1,16,9,6,2937841,125,1,120,4,67,58,15,3,3.2,96,32.8,2022-01-01 00:00:00
190,1,16,10,2,3282798,57,5,52,0,40,17,7,2,0,91.23,6.4,2022-01-01 00:00:00
191,1,16,11,2,3142758,79,5,73,1,50,29,4,10,1.27,92.41,16.1,2022-01-01 00:00:00
192,1,16,12,1,3021382,38,9,28,1,14,24,4,1,2.63,73.68,16,2022-01-01 00:00:00
193,1,17,1,3,1192532,59,8,51,0,26,33,12,1,0,86.44,19.9,2022-01-01 00:00:00
194,1,17,2,4,1179850,61,8,52,1,36,25,8,10,1.64,85.25,27.4,2022-01-01 00:00:00
195,1,17,3,6,1050444,28,7,21,0,20,8,70,1,0,75,10,2022-01-01 00:00:00
196,1,17,4,3,1124443,13,4,9,0,5,8,3,0,0,69.23,8.7,2022-01-01 00:00:00
197,1,17,5,6,1104177,23,3,20,0,12,11,3,0,0,86.96,8,2022-01-01 00:00:00
198,1,17,6,1,1174153,7,2,5,0,3,4,0,0,0,71.43,4.8,2022-01-01 00:00:00
199,1,17,7,2,1072170,9,2,7,0,4,5,1,0,0,77.78,4.4,2022-01-01 00:00:00
200,1,17,8,4,1033332,30,4,26,0,18,12,2,0,0,86.67,14.3,2022-01-01 00:00:00
201,1,17,9,2,1118243,20,5,15,0,8,12,2,0,0,75,11.6,2022-01-01 00:00:00
202,1,17,10,6,1152752,20,3,17,0,11,9,4,0,0,85,9.4,2022-01-01 00:00:00
203,1,17,11,3,1052559,12,1,11,0,8,4,1,0,0,91.67,4.5,2022-01-01 00:00:00
204,1,17,12,1,1047770,10,2,8,0,3,7,2,0,0,80,4.9,2022-01-01 00:00:00
205,1,18,1,3,2168911,119,20,97,2,77,42,21,10,1.68,81.51,29.4,2022-01-01 00:00:00
206,1,18,2,5,2062206,85,1,82,2,38,47,8,0,2.35,96.47,24,2022-01-01 00:00:00
207,1,18,3,5,2144836,172,16,153,3,74,98,38,10,1.74,88.95,44.6,2022-01-01 00:00:00
208,1,18,4,1,2050603,28,1,27,0,12,16,6,1,0,96.43,4.6,2022-01-01 00:00:00
209,1,18,5,3,1932275,35,6,29,0,16,19,6,0,0,82.86,4.2,2022-01-01 00:00:00
210,1,18,6,3,2086438,31,3,28,0,14,17,4,0,0,90.32,3.8,2022-01-01 00:00:00
211,1,18,7,5,2016747,30,4,26,0,12,18,1,0,0,86.67,7.9,2022-01-01 00:00:00
212,1,18,8,6,1919513,46,2,43,1,32,14,2,0,2.17,93.48,17.5,2022-01-01 00:00:00
213,1,18,9,4,1988689,21,3,466,0,9,12,5,0,0,85.71,4.5,2022-01-01 00:00:00
214,1,18,10,5,2126293,31,3,28,0,18,13,1,0,0,90.32,8.1,2022-01-01 00:00:00
215,1,18,11,5,2020115,84,13,71,0,30,54,14,1,0,84.52,16.3,2022-01-01 00:00:00
216,1,18,12,1,2184136,41,1,466,1,14,27,3,0,2.44,95.12,20.9,2022-01-01 00:00:00
217,1,19,1,1,43712244,645,12,612,21,245,400,157,29,3.26,94.88,20.2,2022-01-01 00:00:00
218,1,19,2,5,42728381,1737,340,1361,36,1115,622,343,23,2.07,78.35,28.4,2022-01-01 00:00:00
219,1,19,3,6,46000276,1267,70,1154,43,554,713,156,14,3.39,91.08,23.5,2022-01-01 00:00:00
220,1,19,4,2,41234942,580,80,483,17,346,234,127,14,2.93,83.28,19.3,2022-01-01 00:00:00
221,1,19,5,1,44686243,382,87,293,2,144,238,70,9,0.52,76.7,5.4,2022-01-01 00:00:00
222,1,19,6,3,40246656,265,29,229,7,193,72,70,9,2.64,86.42,12.3,2022-01-01 00:00:00
223,1,19,7,6,42509898,990,209,775,6,459,531,185,11,1.37,78.28,8.9,2022-01-01 00:00:00
224,1,19,8,6,39535890,649,151,491,7,396,253,112,16,1.08,75.65,6.3,2022-01-01 00:00:00
225,1,19,9,5,43025328,664,39,616,9,390,274,83,15,1.36,92.77,6.5,2022-01-01 00:00:00
226,1,19,10,4,41422260,564,42,520,2,333,231,134,10,0.35,92.2,9.8,2022-01-01 00:00:00
227,1,19,11,6,41780549,1505,3,1453,49,856,649,87,14,3.26,96.54,22.5,2022-01-01 00:00:00
228,1,19,12,2,40351212,1794,86,1678,30,1329,465,205,34,1.67,93.53,24.1,2022-01-01 00:00:00
229,1,20,1,6,29969675,649,85,558,6,468,181,44,6,0.92,85.98,13.6,2022-01-01 00:00:00
230,1,20,2,6,29994019,770,94,653,23,389,381,81,21,2.99,84.81,22.1,2022-01-01 00:00:00
231,1,20,3,2,26774591,783,127,654,2,330,453,70,15,0.26,83.52,15.5,2022-01-01 00:00:00
232,1,20,4,3,29648912,407,50,466,10,235,172,49,12,2.46,85.26,11.3,2022-01-01 00:00:00
233,1,20,5,1,29815136,408,84,317,7,164,244,39,9,1.72,77.7,15,2022-01-01 00:00:00
234,1,20,6,2,26388274,420,4,406,10,234,186,49,4,2.38,96.67,14.4,2022-01-01 00:00:00
235,1,20,7,5,25733137,577,93,466,18,257,320,70,2,3.12,80.76,16.7,2022-01-01 00:00:00
236,1,20,8,3,26497546,242,37,202,3,93,149,28,3,1.24,83.47,3,2022-01-01 00:00:00
237,1,20,9,4,29396889,973,105,837,31,641,332,152,19,3.19,86.02,28.4,2022-01-01 00:00:00
238,1,20,10,5,29061959,1063,49,985,29,412,651,118,33,2.73,92.66,30.8,2022-01-01 00:00:00
239,1,20,11,6,26830796,271,22,249,0,187,84,56,11,0,91.88,0.5,2022-01-01 00:00:00
240,1,20,12,1,29620250,719,126,581,12,504,215,92,14,108.2,129.2,14.7,2022-01-01 00:00:00
241,1,21,1,6,75724351,3192,446,2687,59,1311,1881,323,56,1.85,84.18,23.8,2022-01-01 00:00:00
242,1,21,2,3,75246490,3486,92,3358,36,2388,1098,721,210,1.03,96.33,21,2022-01-01 00:00:00
243,1,21,3,2,69565009,1880,322,1518,40,1082,798,443,34,2.13,80.74,20.2,2022-01-01 00:00:00
244,1,21,4,2,79720952,1627,218,1403,6,646,981,165,35,0.37,86.23,15.5,2022-01-01 00:00:00
245,1,21,5,2,74382528,734,53,666,15,287,447,101,8,2.04,90.74,15.6,2022-01-01 00:00:00
246,1,21,6,2,73165253,2022,402,1555,65,1474,548,147,41,3.21,76.9,20.3,2022-01-01 00:00:00
247,1,21,7,5,76792825,1179,53,466,9,444,735,118,26,0.76,94.74,4.9,2022-01-01 00:00:00
248,1,21,8,1,73325381,1131,42,1084,5,457,674,225,60,0.44,95.84,6.5,2022-01-01 00:00:00
249,1,21,9,6,76467470,1928,319,1602,7,826,1102,194,28,0.36,83.09,10.6,2022-01-01 00:00:00
